LA Lakers,Philadelphia,time_rem
14-5,13-6,48M 0S
0,0,47M 38S
0,2,47M 31S
3,2,47M 20S
3,4,47M 5S
3,7,46M 22S
5,7,46M 8S
7,7,45M 43S
7,9,45M 35S
9,9,45M 19S
10,9,45M 8S
10,11,44M 48S
12,11,44M 32S
14,11,44M 1S
14,13,43M 53S
14,16,43M 11S
16,16,42M 54S
16,18,42M 37S
16,19,42M 37S
16,20,42M 7S
16,21,42M 7S
16,23,41M 46S
16,24,40M 26S
16,25,40M 26S
18,25,40M 7S
18,27,39M 56S
18,28,39M 9S
18,31,38M 18S
18,34,37M 56S
20,34,37M 35S
21,34,37M 35S
22,34,37M 12S
24,34,36M 36S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,34,35M 18S
28,34,34M 17S
28,36,33M 57S
28,38,33M 23S
30,38,33M 12S
30,39,32M 55S
31,39,32M 20S
32,39,32M 20S
34,39,31M 45S
34,42,31M 29S
36,42,31M 1S
36,44,30M 37S
38,44,30M 5S
38,46,29M 26S
40,46,28M 53S
42,46,28M 22S
43,46,28M 22S
43,47,28M 0S
45,47,27M 49S
45,49,26M 57S
45,51,26M 37S
47,51,26M 1S
48,51,26M 1S
48,53,25M 27S
49,53,25M 14S
49,54,24M 30S
49,55,24M 30S
51,55,24M 17S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,55,23M 19S
53,57,23M 2S
53,59,22M 39S
53,62,22M 14S
53,65,21M 48S
55,65,21M 28S
55,66,21M 16S
55,68,20M 41S
Jump ball: K. Caldwell,Pope vs. S. Curry (L. James gains possession),20M 25S
58,68,19M 59S
61,68,19M 26S
63,68,18M 52S
Jump ball: J. Embiid vs. M. Gasol (J. Embiid gains possession),NA,18M 33S
63,69,17M 44S
63,70,17M 44S
65,70,17M 26S
67,70,16M 55S
68,70,16M 36S
68,72,15M 58S
68,74,15M 39S
68,77,15M 5S
70,77,14M 18S
70,79,13M 51S
72,79,13M 38S
74,79,13M 2S
74,81,12M 51S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,83,11M 14S
74,84,10M 50S
75,84,10M 42S
75,86,10M 16S
76,86,10M 5S
77,86,10M 5S
78,86,10M 5S
81,86,9M 37S
81,89,8M 58S
81,90,8M 54S
81,92,7M 31S
81,94,7M 1S
84,94,6M 53S
84,96,6M 32S
84,98,6M 0S
86,98,5M 47S
86,100,5M 10S
88,100,4M 31S
90,100,4M 1S
91,100,4M 1S
91,102,3M 37S
92,102,3M 24S
93,102,3M 24S
93,104,3M 7S
93,105,3M 7S
95,105,3M 1S
98,105,2M 31S
101,105,1M 46S
104,105,1M 5S
106,105,11S
106,107,3S
End of 4th quarter,NA,0S
