Houston,Chicago,time_rem
4-8,6-8,48M 0S
0,0,47M 44S
0,3,47M 16S
2,3,47M 1S
2,5,46M 55S
2,7,46M 7S
3,7,45M 38S
6,7,44M 15S
8,7,43M 4S
8,9,42M 8S
10,9,41M 56S
10,10,41M 36S
10,11,41M 36S
10,13,41M 20S
10,15,41M 7S
13,15,39M 31S
13,17,39M 13S
13,19,38M 53S
13,21,38M 15S
13,22,37M 38S
13,23,37M 38S
13,25,37M 11S
14,25,36M 17S
16,25,36M 1S
16,28,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
17,28,35M 44S
17,31,35M 27S
17,33,35M 7S
17,34,35M 7S
20,34,34M 50S
23,34,34M 19S
26,34,33M 49S
26,36,33M 0S
26,37,32M 34S
28,37,32M 16S
28,40,32M 5S
28,43,31M 14S
28,44,31M 11S
31,44,30M 41S
33,44,30M 11S
33,47,29M 57S
35,47,29M 46S
36,47,29M 46S
36,49,29M 34S
38,49,29M 24S
38,52,29M 14S
38,55,28M 47S
40,55,28M 32S
43,55,28M 13S
43,56,27M 55S
43,57,27M 55S
45,57,27M 41S
47,57,27M 4S
47,59,26M 20S
50,59,26M 8S
50,61,25M 19S
50,64,25M 3S
52,64,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,67,23M 27S
54,67,23M 5S
56,67,22M 46S
56,69,22M 28S
59,69,22M 15S
61,69,21M 53S
61,71,21M 13S
64,71,20M 50S
66,71,19M 29S
68,71,19M 0S
68,74,18M 47S
68,75,18M 19S
68,76,18M 19S
70,76,18M 6S
72,76,17M 28S
72,78,16M 46S
72,81,16M 6S
74,81,15M 54S
77,81,15M 37S
77,84,15M 18S
77,87,14M 14S
80,87,13M 59S
80,90,13M 43S
83,90,13M 18S
86,90,12M 35S
86,92,12M 22S
86,93,12M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,95,11M 35S
88,95,11M 24S
91,95,10M 44S
91,98,10M 23S
92,98,10M 10S
93,98,10M 10S
93,101,9M 56S
95,101,8M 47S
95,102,7M 50S
95,104,7M 17S
95,107,6M 38S
97,107,5M 59S
99,107,5M 29S
99,109,5M 4S
100,109,4M 50S
101,109,4M 27S
102,109,4M 27S
102,111,4M 11S
104,111,4M 0S
106,111,3M 18S
106,114,2M 40S
108,114,2M 24S
111,114,1M 50S
111,116,1M 39S
112,116,1M 3S
113,116,1M 3S
113,119,46S
113,120,23S
113,121,23S
115,121,19S
115,122,15S
115,123,15S
118,123,9S
118,124,7S
118,125,7S
120,125,1S
End of 4th quarter,NA,0S
