Atlanta,Houston,time_rem
20-20,11-27,48M 0S
0,0,47M 49S
1,0,47M 37S
2,0,47M 37S
2,2,47M 21S
4,2,46M 32S
4,5,46M 4S
4,7,45M 35S
4,9,45M 8S
6,9,44M 47S
7,9,44M 28S
8,9,44M 28S
8,11,44M 15S
10,11,44M 4S
10,13,43M 45S
12,13,43M 23S
12,15,41M 57S
15,15,41M 35S
17,15,41M 9S
19,15,40M 53S
19,18,40M 37S
21,18,40M 15S
21,19,39M 30S
23,19,39M 17S
25,19,38M 48S
25,20,38M 17S
27,20,38M 2S
28,20,37M 38S
29,20,37M 38S
32,20,37M 16S
32,22,36M 55S
35,22,36M 40S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,22,35M 45S
40,22,35M 9S
40,25,34M 51S
42,25,34M 30S
44,25,33M 55S
45,25,33M 21S
46,25,33M 21S
48,25,32M 48S
48,27,32M 32S
48,28,32M 32S
48,31,31M 48S
48,33,31M 18S
48,34,31M 18S
49,34,31M 9S
49,36,30M 47S
51,36,30M 35S
53,36,30M 15S
54,36,30M 15S
54,38,29M 57S
55,38,29M 57S
55,40,29M 31S
58,40,29M 18S
58,42,28M 48S
60,42,28M 32S
63,42,27M 56S
63,45,27M 32S
65,45,26M 52S
67,45,26M 31S
68,45,26M 31S
68,47,26M 20S
68,48,26M 20S
70,48,26M 6S
70,49,25M 57S
70,50,25M 57S
73,50,25M 39S
73,53,25M 25S
73,55,24M 35S
73,58,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
76,58,23M 41S
76,61,22M 30S
76,64,21M 54S
76,66,21M 18S
79,66,20M 54S
79,68,20M 35S
82,68,20M 22S
82,71,19M 57S
82,73,18M 24S
85,73,17M 43S
85,75,17M 26S
85,76,17M 26S
85,78,16M 27S
88,78,16M 11S
90,78,15M 2S
90,80,14M 39S
90,81,14M 10S
90,82,14M 10S
90,84,13M 39S
90,86,13M 1S
93,86,12M 52S
93,89,12M 42S
93,92,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,92,11M 22S
97,92,10M 50S
97,95,10M 7S
97,97,9M 25S
99,97,9M 11S
101,97,8M 3S
Jump ball: K. Martin vs. J. Collins (S. Brown gains possession),NA,7M 6S
101,99,6M 58S
104,99,6M 11S
104,101,5M 58S
107,101,5M 31S
109,101,4M 52S
112,101,2M 34S
112,103,2M 18S
112,105,1M 27S
114,105,1M 6S
117,105,42S
117,107,32S
118,107,26S
119,107,26S
End of 4th quarter,NA,0S
