Minnesota,Sacramento,time_rem
16-44,24-35,48M 0S
0,0,47M 42S
1,0,47M 42S
2,0,47M 42S
4,0,47M 26S
4,3,47M 9S
7,3,46M 17S
7,6,46M 4S
9,6,45M 40S
11,6,45M 23S
11,9,45M 12S
12,9,44M 57S
15,9,44M 31S
15,10,44M 1S
15,11,44M 1S
17,11,43M 40S
17,13,43M 31S
17,16,43M 15S
17,18,42M 26S
17,20,41M 40S
17,22,41M 15S
18,22,41M 4S
19,22,41M 4S
19,24,40M 51S
19,26,40M 35S
20,26,40M 22S
21,26,40M 22S
21,28,40M 8S
24,28,39M 50S
24,31,39M 37S
24,33,39M 13S
27,33,38M 51S
27,36,38M 32S
27,37,38M 3S
27,38,38M 3S
29,38,37M 55S
31,38,37M 32S
31,39,37M 23S
33,39,37M 14S
33,41,37M 0S
34,41,36M 18S
34,44,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,46,35M 44S
36,46,35M 18S
36,48,35M 5S
38,48,34M 49S
38,49,34M 28S
41,49,33M 56S
43,49,33M 17S
45,49,32M 54S
47,49,30M 47S
47,50,30M 38S
47,51,30M 38S
50,51,30M 14S
50,52,29M 52S
50,53,29M 52S
52,53,29M 39S
52,56,28M 56S
54,56,28M 41S
54,58,27M 54S
54,61,27M 1S
56,61,26M 36S
56,63,26M 13S
56,65,25M 45S
58,65,25M 29S
58,68,25M 10S
59,68,24M 57S
59,70,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,72,23M 37S
61,72,23M 19S
64,72,22M 33S
65,72,21M 55S
66,72,21M 55S
66,74,21M 41S
69,74,21M 1S
69,77,20M 51S
70,77,20M 10S
72,77,19M 55S
72,79,19M 46S
74,79,18M 33S
74,80,18M 23S
74,81,18M 23S
76,81,18M 6S
77,81,17M 35S
78,81,17M 35S
81,81,16M 58S
81,82,16M 26S
81,83,16M 26S
84,83,16M 13S
84,84,15M 41S
84,85,15M 41S
86,85,15M 5S
86,87,14M 58S
88,87,14M 40S
89,87,14M 40S
91,87,13M 57S
91,89,13M 44S
93,89,13M 35S
93,90,13M 20S
95,90,13M 4S
95,92,12M 34S
95,95,12M 9S
98,95,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,97,11M 26S
100,97,10M 58S
102,97,10M 29S
102,98,10M 13S
102,99,10M 13S
104,99,9M 25S
104,101,9M 7S
107,101,8M 49S
110,101,8M 25S
112,101,7M 6S
112,102,6M 55S
113,102,6M 29S
113,105,5M 48S
115,105,5M 29S
115,107,5M 20S
115,110,4M 50S
115,113,3M 59S
115,116,3M 26S
115,117,2M 41S
116,117,2M 33S
117,117,2M 33S
119,117,2M 13S
119,119,1M 53S
122,119,1M 28S
122,121,1M 4S
125,121,51S
125,122,46S
125,123,46S
125,126,8S
125,127,1S
125,128,1S
End of 4th quarter,NA,0S
