Cleveland,Charlotte,time_rem
20-34,27-27,48M 0S
2,0,47M 38S
4,0,46M 57S
5,0,46M 57S
7,0,46M 27S
7,3,46M 14S
7,6,45M 43S
9,6,45M 20S
9,8,44M 54S
11,8,44M 29S
11,11,44M 18S
13,11,44M 2S
16,11,43M 26S
16,13,42M 56S
19,13,42M 34S
19,15,41M 49S
22,15,41M 12S
22,17,40M 23S
22,19,39M 51S
24,19,37M 35S
25,19,37M 11S
25,21,36M 34S
27,21,36M 23S
27,23,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,26,35M 15S
29,26,34M 25S
32,26,33M 55S
35,26,33M 33S
35,29,32M 25S
37,29,31M 34S
38,29,31M 34S
38,31,30M 26S
41,31,30M 10S
41,33,29M 58S
43,33,29M 39S
43,36,29M 5S
45,36,27M 59S
45,38,27M 43S
Jump ball: B. Biyombo vs. L. Nance (M. Bridges gains possession),NA,26M 14S
45,40,26M 8S
45,41,25M 34S
46,41,24M 53S
47,41,24M 53S
49,41,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,44,23M 40S
51,44,23M 20S
52,44,22M 5S
52,47,21M 5S
54,47,20M 48S
54,49,19M 41S
54,52,19M 6S
54,54,18M 31S
55,54,18M 26S
56,54,18M 26S
56,56,18M 7S
Jump ball: K. Love vs. B. Wanamaker (C. Zeller gains possession),NA,17M 21S
58,56,17M 11S
58,59,16M 54S
60,59,16M 37S
62,59,15M 57S
63,59,15M 42S
64,59,15M 42S
64,61,15M 22S
65,61,15M 4S
66,61,15M 4S
66,63,14M 38S
68,63,13M 57S
68,64,13M 46S
71,64,13M 2S
74,64,12M 42S
75,64,12M 6S
75,66,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,68,11M 13S
77,68,9M 50S
Jump ball:  vs. ,NA,9M 35S
79,68,9M 22S
79,71,9M 7S
79,74,8M 36S
81,74,7M 37S
81,75,7M 24S
81,76,7M 24S
84,76,6M 21S
84,79,5M 29S
86,79,5M 8S
87,79,5M 8S
89,79,4M 36S
89,80,4M 15S
89,81,4M 15S
92,81,3M 36S
92,84,3M 23S
95,84,2M 39S
95,87,2M 19S
98,87,2M 0S
98,90,1M 18S
101,90,1M 9S
102,90,35S
103,90,35S
End of 4th quarter,NA,0S
