Sacramento,Oklahoma City,time_rem
28-37,21-45,48M 0S
0,0,47M 41S
0,2,47M 35S
2,2,47M 16S
3,2,46M 40S
4,2,46M 40S
6,2,45M 26S
6,4,45M 9S
8,4,44M 55S
8,6,44M 34S
10,6,43M 35S
10,9,42M 52S
12,9,42M 17S
12,12,41M 50S
12,15,40M 29S
15,15,40M 13S
15,16,39M 4S
15,17,39M 4S
17,17,38M 31S
17,18,38M 17S
20,18,38M 2S
23,18,37M 34S
23,20,37M 16S
25,20,36M 53S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,23,35M 34S
Jump ball: K. Guy vs. S. Mykhailiuk (R. Holmes gains possession),NA,35M 12S
25,24,34M 57S
25,26,34M 24S
26,26,34M 15S
27,26,34M 15S
27,27,33M 18S
27,28,33M 18S
27,30,33M 0S
28,30,32M 29S
30,30,32M 10S
30,32,31M 50S
33,32,31M 38S
33,35,31M 20S
35,35,31M 0S
35,36,29M 10S
35,37,29M 10S
38,37,28M 59S
39,37,28M 17S
42,37,27M 40S
42,40,27M 18S
45,40,26M 57S
47,40,26M 14S
49,40,25M 57S
51,40,25M 35S
51,41,25M 19S
54,41,25M 8S
54,43,24M 47S
55,43,24M 42S
56,43,24M 42S
56,46,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,46,23M 36S
60,46,22M 34S
60,48,22M 16S
61,48,22M 7S
63,48,21M 46S
63,49,20M 40S
65,49,20M 25S
65,51,19M 41S
65,52,19M 10S
65,53,19M 10S
65,55,18M 48S
67,55,18M 29S
69,55,17M 58S
69,56,17M 15S
71,56,17M 5S
71,57,16M 38S
71,59,16M 9S
73,59,16M 3S
74,59,16M 3S
76,59,15M 33S
76,61,15M 11S
78,61,14M 59S
78,62,14M 16S
78,64,13M 38S
78,66,13M 10S
81,66,12M 31S
81,69,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,71,11M 40S
81,73,11M 20S
83,73,11M 7S
83,75,10M 14S
86,75,10M 3S
86,77,9M 25S
87,77,9M 8S
88,77,9M 8S
91,77,8M 34S
91,80,7M 49S
93,80,7M 27S
93,83,7M 10S
95,83,6M 28S
95,84,6M 17S
95,85,6M 17S
98,85,5M 48S
98,87,5M 25S
98,89,4M 29S
98,91,4M 2S
98,94,2M 42S
98,96,1M 47S
100,96,1M 19S
100,98,1M 9S
100,99,1M 9S
102,99,18S
103,99,4S
End of 4th quarter,NA,0S
