Dallas,Oklahoma City,time_rem
24-21,19-27,48M 0S
0,0,47M 35S
3,0,46M 21S
3,2,46M 1S
5,2,45M 45S
5,4,44M 34S
7,4,43M 53S
7,6,43M 41S
10,6,43M 18S
10,9,43M 8S
12,9,42M 35S
14,9,42M 2S
16,9,40M 57S
18,9,40M 32S
18,11,40M 20S
20,11,40M 2S
23,11,39M 39S
23,14,39M 25S
26,14,39M 6S
26,16,38M 44S
26,18,38M 14S
28,18,38M 0S
28,20,37M 35S
31,20,37M 15S
31,21,36M 46S
31,22,36M 46S
31,23,36M 14S
31,24,36M 14S
33,24,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,26,35M 44S
34,26,35M 26S
35,26,35M 26S
35,28,35M 12S
35,30,34M 41S
35,32,34M 18S
36,32,33M 53S
36,34,33M 30S
37,34,33M 8S
38,34,33M 8S
38,36,32M 55S
41,36,32M 44S
41,38,32M 24S
41,41,32M 2S
43,41,31M 40S
43,42,31M 18S
45,42,31M 2S
45,43,30M 40S
47,43,30M 23S
47,46,29M 51S
48,46,29M 34S
49,46,29M 34S
50,46,29M 34S
50,48,29M 21S
53,48,29M 7S
55,48,28M 51S
57,48,28M 13S
57,51,28M 4S
60,51,27M 50S
60,53,27M 6S
63,53,26M 51S
65,53,26M 17S
65,54,25M 58S
65,55,25M 36S
65,56,25M 16S
65,57,25M 16S
66,57,25M 7S
66,59,25M 0S
68,59,24M 49S
68,61,24M 31S
71,61,24M 13S
71,62,24M 2S
71,63,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
71,65,23M 44S
71,66,23M 44S
73,66,23M 34S
73,69,23M 14S
76,69,22M 50S
78,69,22M 28S
81,69,21M 11S
81,70,20M 56S
84,70,20M 42S
84,73,20M 28S
86,73,20M 6S
88,73,19M 26S
88,76,19M 11S
88,77,18M 37S
88,79,17M 43S
90,79,17M 24S
92,79,17M 0S
95,79,16M 24S
Jump ball: I. Roby vs. D. Finney,Smith (S. Mykhailiuk gains possession),15M 55S
95,81,15M 50S
95,83,15M 9S
98,83,12M 35S
100,83,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
102,83,11M 16S
104,83,10M 47S
106,83,9M 57S
108,83,9M 22S
108,84,9M 12S
108,85,9M 12S
110,85,9M 1S
112,85,8M 47S
112,87,8M 36S
114,87,8M 20S
114,88,7M 22S
114,90,6M 47S
117,90,5M 34S
117,91,5M 14S
117,92,5M 14S
119,92,5M 5S
119,94,4M 45S
119,96,4M 17S
121,96,4M 4S
121,98,3M 46S
123,98,3M 26S
123,100,2M 51S
123,103,2M 21S
123,105,1M 51S
125,105,1M 25S
127,105,1M 8S
127,106,49S
End of 4th quarter,NA,0S
