Houston,San Antonio,time_rem
4-6,6-6,48M 0S
0,0,47M 47S
0,2,47M 42S
2,2,47M 26S
2,4,46M 59S
4,4,46M 47S
4,6,46M 32S
6,6,45M 13S
9,6,44M 34S
11,6,44M 17S
14,6,43M 43S
14,9,43M 1S
17,9,42M 43S
17,11,42M 29S
19,11,42M 12S
21,11,41M 37S
21,13,41M 28S
21,14,41M 28S
23,14,40M 4S
23,16,39M 51S
23,18,39M 11S
23,20,38M 58S
25,20,38M 45S
26,20,38M 45S
27,20,38M 24S
28,20,38M 24S
28,23,38M 9S
28,25,37M 40S
30,25,36M 42S
30,27,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,28,35M 16S
32,28,34M 52S
34,28,34M 31S
34,31,33M 47S
34,33,33M 28S
37,33,33M 13S
40,33,32M 34S
42,33,31M 31S
44,33,29M 43S
44,36,29M 31S
44,39,28M 56S
46,39,27M 11S
46,41,25M 56S
46,42,25M 56S
48,42,25M 14S
48,44,24M 51S
48,45,24M 51S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,47,23M 23S
48,49,22M 18S
48,51,21M 52S
48,52,21M 19S
48,53,21M 19S
50,53,21M 6S
50,56,20M 49S
53,56,20M 17S
53,58,19M 44S
55,58,19M 25S
55,60,19M 2S
55,62,18M 34S
58,62,18M 20S
58,65,18M 3S
61,65,17M 51S
61,66,17M 27S
61,67,17M 27S
61,69,17M 10S
63,69,16M 49S
65,69,16M 19S
67,69,15M 43S
67,72,14M 58S
70,72,14M 44S
71,72,14M 7S
72,72,14M 7S
72,75,13M 50S
72,77,13M 16S
73,77,13M 4S
75,77,12M 43S
75,79,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,79,11M 43S
78,79,11M 43S
80,79,10M 54S
80,80,10M 40S
80,81,10M 40S
80,83,10M 14S
82,83,9M 51S
82,85,8M 43S
82,87,8M 9S
84,87,8M 2S
84,89,7M 48S
87,89,7M 35S
87,91,7M 17S
89,91,6M 58S
89,93,6M 40S
89,95,5M 27S
89,96,5M 9S
89,97,5M 9S
90,97,4M 58S
90,99,4M 39S
93,99,4M 27S
96,99,3M 54S
96,101,3M 31S
98,101,3M 13S
101,101,2M 47S
102,101,2M 9S
103,101,2M 9S
105,101,1M 46S
105,103,1M 31S
107,103,1M 19S
Jump ball: K. Johnson vs. J. Tate (D. Murray gains possession),NA,1M 3S
107,105,1M 0S
108,105,0S
109,105,0S
End of 4th quarter,NA,0S
