Brooklyn,Washington,time_rem
13-9,4-12,48M 0S
0,0,47M 44S
3,0,47M 21S
3,1,46M 36S
3,2,46M 36S
6,2,46M 22S
6,4,46M 6S
8,4,45M 42S
11,4,45M 31S
14,4,44M 57S
14,5,44M 37S
16,5,44M 5S
19,5,43M 47S
19,7,43M 8S
21,7,42M 54S
21,9,41M 43S
23,9,40M 54S
23,11,40M 33S
25,11,40M 25S
25,13,40M 16S
26,13,40M 7S
29,13,39M 45S
31,13,38M 58S
31,16,38M 41S
32,16,38M 20S
33,16,38M 20S
33,18,38M 7S
33,20,37M 20S
33,23,36M 50S
36,23,36M 39S
36,25,36M 26S
38,25,36M 4S
38,28,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,29,35M 48S
38,31,34M 52S
38,33,34M 25S
38,35,34M 13S
38,37,33M 50S
41,37,33M 38S
44,37,33M 11S
46,37,32M 43S
46,39,32M 21S
46,41,32M 7S
48,41,31M 47S
50,41,31M 18S
50,43,31M 2S
50,44,31M 2S
51,44,30M 46S
52,44,30M 46S
52,46,30M 4S
52,48,29M 45S
54,48,29M 26S
54,49,29M 3S
54,50,29M 3S
56,50,28M 47S
56,52,28M 29S
56,54,27M 56S
56,56,27M 40S
56,57,27M 40S
57,57,27M 21S
58,57,27M 21S
60,57,26M 48S
60,58,26M 37S
60,59,26M 37S
62,59,26M 25S
64,59,25M 49S
64,61,25M 25S
66,61,25M 10S
66,63,25M 1S
68,63,24M 30S
68,65,24M 8S
69,65,24M 1S
70,65,24M 1S
71,65,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
74,65,22M 50S
74,67,22M 36S
74,69,22M 14S
77,69,21M 49S
77,71,21M 3S
79,71,20M 48S
79,73,20M 27S
82,73,19M 45S
82,76,19M 31S
84,76,19M 18S
84,78,19M 5S
86,78,17M 59S
86,79,17M 49S
86,80,17M 49S
87,80,17M 35S
87,82,17M 23S
89,82,17M 7S
89,84,16M 39S
90,84,16M 29S
91,84,16M 29S
91,86,15M 39S
94,86,15M 24S
96,86,15M 7S
96,88,15M 0S
98,88,14M 46S
98,91,14M 38S
101,91,14M 19S
101,93,14M 6S
103,93,13M 40S
103,96,13M 33S
106,96,12M 57S
106,99,12M 46S
107,99,12M 25S
108,99,12M 25S
108,101,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
111,101,11M 45S
111,104,11M 29S
113,104,11M 9S
113,106,10M 48S
115,106,10M 14S
115,107,10M 0S
115,108,10M 0S
115,109,9M 38S
118,109,9M 21S
118,111,9M 9S
119,111,8M 52S
120,111,8M 52S
120,113,8M 41S
120,114,8M 21S
120,116,7M 27S
121,116,6M 59S
121,119,6M 40S
123,119,6M 12S
125,119,5M 39S
125,121,5M 28S
127,121,5M 18S
130,121,4M 54S
130,123,4M 44S
130,124,4M 44S
130,125,3M 41S
130,126,3M 41S
132,126,3M 19S
132,128,3M 4S
132,130,2M 41S
132,131,2M 41S
133,131,2M 30S
134,131,2M 30S
135,131,2M 6S
136,131,2M 6S
136,133,1M 58S
136,134,1M 58S
139,134,1M 38S
139,135,1M 26S
139,136,1M 26S
140,136,1M 18S
141,136,1M 18S
141,139,1M 10S
141,141,41S
143,141,31S
144,141,23S
145,141,12S
146,141,12S
146,144,8S
146,147,4S
146,148,0S
146,149,0S
End of 4th quarter,NA,0S
