Minnesota,Philadelphia,time_rem
12-38,34-15,48M 0S
0,0,47M 41S
0,1,47M 36S
0,2,47M 13S
0,3,47M 13S
3,3,46M 58S
6,3,46M 10S
8,3,45M 38S
8,5,45M 18S
8,7,44M 45S
10,7,44M 32S
13,7,43M 43S
13,9,43M 21S
13,11,42M 39S
13,14,42M 20S
14,14,42M 4S
14,16,41M 54S
14,18,41M 15S
15,18,40M 33S
16,18,40M 33S
17,18,39M 46S
18,18,39M 46S
20,18,39M 32S
21,18,39M 12S
22,18,39M 12S
22,21,39M 2S
24,21,38M 40S
24,22,38M 26S
24,23,37M 41S
24,26,37M 12S
27,26,36M 48S
28,26,36M 29S
29,26,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,29,35M 42S
29,31,35M 5S
29,33,34M 39S
30,33,34M 29S
30,34,34M 7S
30,35,34M 7S
30,36,33M 38S
30,37,33M 17S
30,38,33M 17S
32,38,33M 1S
32,40,32M 34S
34,40,32M 15S
34,41,31M 58S
34,43,31M 40S
35,43,31M 24S
36,43,31M 24S
39,43,30M 48S
39,45,30M 36S
41,45,30M 13S
41,48,30M 2S
43,48,29M 44S
43,50,29M 34S
43,51,29M 8S
43,52,29M 8S
45,52,28M 46S
45,55,28M 35S
48,55,28M 20S
48,57,27M 43S
50,57,27M 27S
53,57,26M 51S
53,58,26M 39S
53,59,26M 39S
54,59,26M 18S
54,61,25M 56S
54,63,25M 32S
56,63,25M 12S
56,64,25M 3S
57,64,24M 57S
58,64,24M 57S
59,64,24M 40S
60,64,24M 40S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,66,23M 45S
60,69,23M 7S
60,70,22M 31S
60,71,22M 31S
60,74,21M 48S
60,76,21M 15S
60,77,21M 3S
63,77,19M 45S
63,79,19M 13S
64,79,19M 4S
65,79,19M 4S
67,79,18M 43S
68,79,18M 43S
68,81,18M 28S
68,83,18M 9S
71,83,17M 55S
74,83,17M 12S
74,86,16M 51S
74,89,16M 18S
74,91,15M 57S
75,91,15M 30S
76,91,15M 30S
76,94,13M 18S
78,94,12M 41S
78,96,12M 25S
78,97,12M 25S
80,97,12M 7S
81,97,12M 0S
83,97,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,97,11M 24S
85,97,11M 24S
88,97,10M 48S
88,99,10M 36S
90,99,10M 19S
90,100,10M 10S
90,101,10M 10S
90,103,9M 44S
91,103,9M 30S
92,103,9M 30S
92,106,9M 15S
94,106,8M 30S
96,106,8M 7S
97,106,7M 38S
98,106,7M 38S
98,108,7M 10S
100,108,5M 56S
102,108,4M 53S
103,108,3M 47S
104,108,3M 47S
104,110,3M 25S
106,110,3M 7S
106,111,2M 59S
106,112,2M 58S
106,113,2M 58S
109,113,2M 46S
109,115,2M 21S
111,115,2M 2S
111,117,1M 46S
111,119,1M 15S
113,119,56S
113,120,24S
113,121,11S
113,122,11S
End of 4th quarter,NA,0S
