Phoenix,Memphis,time_rem
19-10,13-13,48M 0S
0,0,47M 39S
0,2,46M 20S
0,4,45M 17S
0,5,45M 17S
Jump ball: X. Tillman vs. D. Ayton (J. Valančiūnas gains possession),NA,45M 1S
2,5,44M 17S
2,7,44M 2S
5,7,43M 52S
7,7,43M 25S
7,9,43M 13S
9,9,42M 59S
9,11,42M 43S
10,11,42M 29S
11,11,42M 29S
14,11,41M 57S
17,11,41M 17S
17,13,41M 4S
20,13,40M 10S
22,13,39M 38S
23,13,39M 38S
23,15,38M 11S
25,15,37M 53S
28,15,37M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,15,35M 50S
31,15,34M 32S
32,15,34M 32S
32,17,34M 12S
32,19,33M 25S
35,19,33M 4S
35,20,32M 20S
35,21,32M 20S
38,21,31M 54S
38,23,31M 35S
41,23,31M 5S
43,23,30M 29S
43,25,29M 48S
46,25,29M 30S
48,25,28M 41S
48,27,28M 13S
49,27,27M 52S
50,27,27M 12S
51,27,27M 12S
52,27,26M 47S
53,27,26M 47S
56,27,26M 22S
56,29,26M 10S
56,30,25M 35S
56,31,25M 35S
59,31,24M 59S
59,34,24M 41S
62,34,24M 34S
65,34,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,34,23M 38S
68,37,23M 23S
68,39,22M 40S
71,39,22M 23S
71,41,21M 57S
71,43,20M 48S
71,45,20M 11S
73,45,19M 53S
73,46,19M 43S
73,47,19M 43S
75,47,19M 32S
77,47,19M 4S
80,47,18M 37S
80,49,18M 26S
80,51,17M 54S
83,51,17M 31S
83,53,16M 38S
83,56,15M 50S
86,56,15M 20S
86,58,14M 53S
88,58,14M 31S
88,60,14M 13S
91,60,14M 1S
94,60,13M 22S
94,62,13M 5S
96,62,12M 55S
96,63,12M 46S
96,64,12M 46S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,64,11M 28S
98,66,11M 13S
100,66,10M 59S
100,67,10M 29S
102,67,10M 14S
102,70,9M 50S
102,71,9M 29S
102,72,9M 29S
103,72,9M 9S
104,72,9M 9S
107,72,8M 42S
107,74,8M 25S
107,76,7M 56S
107,77,7M 28S
107,78,7M 28S
109,78,7M 11S
111,78,6M 40S
114,78,6M 20S
114,80,6M 1S
116,80,5M 47S
116,83,5M 38S
116,84,5M 17S
116,85,5M 17S
116,87,4M 40S
118,87,4M 25S
121,87,4M 0S
123,87,3M 14S
123,89,2M 42S
125,89,2M 26S
125,91,2M 12S
125,92,1M 38S
125,93,1M 38S
125,94,1M 4S
125,95,1M 4S
128,95,51S
128,97,24S
End of 4th quarter,NA,0S
