Charlotte,Sacramento,time_rem
16-17,13-21,48M 0S
0,2,47M 40S
1,2,47M 16S
2,2,47M 16S
2,5,47M 1S
2,8,46M 37S
5,8,45M 55S
5,10,45M 46S
8,10,45M 32S
8,13,45M 14S
8,16,44M 46S
10,16,44M 11S
10,19,44M 3S
10,21,43M 13S
10,24,42M 52S
12,24,42M 23S
13,24,42M 5S
14,24,42M 5S
15,24,42M 5S
15,26,41M 49S
15,28,41M 41S
17,28,41M 24S
19,28,40M 52S
21,28,40M 33S
21,30,40M 12S
24,30,39M 17S
24,33,38M 59S
27,33,38M 41S
28,33,38M 5S
29,33,38M 5S
29,35,37M 42S
31,35,37M 35S
32,35,37M 35S
32,37,37M 19S
32,39,36M 45S
34,39,36M 35S
35,39,36M 2S
36,39,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,41,35M 21S
38,41,35M 13S
38,43,35M 1S
40,43,34M 42S
40,45,34M 32S
42,45,34M 13S
44,45,33M 23S
47,45,32M 53S
47,46,32M 42S
49,46,32M 27S
49,47,31M 13S
49,48,31M 13S
51,48,30M 54S
51,50,30M 14S
51,52,29M 53S
54,52,29M 36S
54,54,29M 1S
54,55,29M 1S
56,55,28M 2S
56,57,27M 44S
58,57,27M 34S
58,59,27M 19S
58,61,26M 43S
60,61,26M 23S
60,62,26M 22S
61,62,25M 46S
62,62,25M 46S
62,64,25M 28S
64,64,24M 56S
65,64,24M 12S
66,64,24M 12S
66,67,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,67,23M 47S
68,70,23M 25S
70,70,23M 6S
70,73,23M 1S
72,73,22M 46S
72,75,22M 0S
72,77,20M 46S
74,77,20M 29S
76,77,20M 3S
76,80,19M 53S
78,80,18M 25S
80,80,18M 0S
80,82,17M 47S
80,85,17M 18S
80,87,16M 38S
82,87,16M 8S
82,89,15M 47S
84,89,15M 31S
84,91,15M 6S
85,91,14M 49S
86,91,14M 49S
86,94,13M 43S
88,94,13M 28S
88,95,13M 7S
88,96,13M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,96,11M 33S
93,96,11M 4S
95,96,10M 34S
95,99,10M 24S
98,99,10M 2S
98,101,9M 37S
99,101,9M 25S
100,101,9M 25S
100,103,9M 5S
102,103,7M 45S
102,105,7M 28S
102,107,6M 44S
104,107,6M 31S
104,109,6M 17S
105,109,5M 21S
106,109,5M 21S
106,112,5M 1S
107,112,4M 41S
108,112,4M 41S
108,115,4M 23S
110,115,4M 10S
110,117,3M 53S
110,118,3M 53S
112,118,3M 38S
112,119,2M 47S
112,121,2M 19S
115,121,2M 7S
115,123,1M 13S
118,123,52S
119,123,33S
120,123,33S
121,123,33S
121,125,23S
124,125,17S
124,126,10S
126,126,1S
127,126,1S
End of 4th quarter,NA,0S
