LA Lakers,Golden State,time_rem
26-13,20-20,48M 0S
2,0,47M 47S
2,2,46M 58S
5,2,46M 41S
5,5,46M 1S
5,6,45M 33S
8,6,44M 28S
8,9,44M 15S
8,11,43M 55S
9,11,43M 31S
10,11,43M 31S
12,11,42M 35S
12,12,42M 31S
14,12,41M 39S
15,12,41M 23S
15,14,40M 46S
17,14,40M 35S
17,16,40M 13S
17,18,39M 9S
17,21,38M 41S
19,21,38M 7S
21,21,37M 40S
21,23,37M 23S
24,23,37M 13S
26,23,36M 49S
26,24,36M 49S
29,24,36M 23S
29,26,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,29,35M 28S
30,29,35M 8S
31,29,34M 33S
32,29,34M 33S
34,29,34M 5S
36,29,33M 38S
36,32,33M 11S
38,32,32M 47S
39,32,32M 5S
40,32,32M 5S
42,32,31M 42S
42,34,31M 28S
44,34,31M 11S
Jump ball: J. Wiseman vs. T. Horton,Tucker (E. Paschall gains possession),30M 47S
44,37,30M 40S
46,37,29M 56S
48,37,29M 14S
48,38,29M 0S
48,39,29M 0S
48,42,28M 31S
50,42,27M 52S
51,42,27M 22S
52,42,27M 22S
52,44,27M 10S
52,45,26M 58S
54,45,26M 35S
57,45,25M 36S
58,45,25M 36S
58,46,25M 24S
58,47,25M 24S
60,47,25M 1S
63,47,24M 38S
65,47,24M 27S
65,50,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,53,23M 48S
67,53,23M 10S
67,55,23M 0S
68,55,22M 33S
70,55,22M 11S
70,58,21M 59S
72,58,21M 44S
72,60,20M 54S
75,60,20M 12S
75,61,19M 58S
75,62,19M 58S
76,62,19M 38S
77,62,19M 38S
80,62,19M 12S
80,64,18M 28S
82,64,17M 59S
83,64,16M 23S
84,64,16M 23S
84,66,16M 11S
86,66,15M 52S
86,69,15M 9S
88,69,14M 27S
88,70,13M 13S
88,71,13M 13S
91,71,13M 4S
93,71,12M 20S
93,73,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,74,10M 55S
95,74,10M 25S
96,74,9M 47S
96,76,9M 37S
98,76,9M 8S
98,78,8M 50S
100,78,8M 43S
103,78,8M 14S
103,80,7M 56S
105,80,7M 46S
108,80,7M 20S
108,83,7M 6S
109,83,6M 51S
110,83,6M 51S
112,83,6M 13S
112,85,6M 0S
114,85,5M 31S
114,88,5M 18S
116,88,4M 37S
118,88,4M 10S
120,88,3M 40S
122,88,3M 6S
124,88,2M 14S
124,90,1M 22S
124,91,1M 1S
124,92,1M 1S
126,92,50S
126,94,40S
126,95,40S
128,95,22S
128,97,14S
End of 4th quarter,NA,0S
