Washington,Denver,time_rem
12-18,17-15,48M 0S
0,0,47M 46S
0,2,46M 56S
2,2,46M 20S
2,4,45M 7S
2,5,45M 7S
2,7,43M 25S
4,7,43M 10S
7,7,42M 50S
7,10,42M 32S
9,10,42M 5S
10,10,41M 38S
11,10,41M 38S
11,13,41M 20S
13,13,40M 47S
15,13,40M 22S
17,13,39M 45S
17,15,39M 29S
19,15,39M 15S
19,16,39M 0S
19,17,39M 0S
19,19,38M 1S
22,19,37M 44S
24,19,37M 18S
24,22,36M 58S
26,22,36M 24S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,22,35M 48S
29,22,35M 23S
29,24,35M 2S
30,24,34M 47S
31,24,34M 47S
33,24,34M 5S
33,26,33M 32S
33,27,33M 32S
33,29,32M 53S
33,30,32M 53S
35,30,32M 43S
35,31,31M 38S
35,32,31M 38S
36,32,31M 28S
37,32,31M 28S
40,32,30M 51S
41,32,30M 19S
42,32,30M 19S
44,32,29M 51S
44,35,28M 56S
44,36,28M 26S
44,37,28M 3S
44,38,28M 3S
45,38,27M 33S
45,40,27M 24S
45,42,26M 57S
46,42,26M 45S
47,42,26M 45S
47,44,26M 32S
48,44,26M 21S
48,46,26M 11S
48,49,25M 49S
48,51,25M 28S
51,51,25M 16S
51,54,25M 0S
52,54,24M 50S
53,54,24M 50S
56,54,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,54,23M 39S
61,54,23M 8S
61,56,22M 42S
61,59,22M 17S
63,59,21M 31S
63,62,20M 55S
66,62,19M 58S
66,65,19M 47S
68,65,19M 19S
68,67,19M 1S
70,67,18M 39S
72,67,17M 59S
74,67,17M 39S
74,70,17M 28S
76,70,17M 3S
76,73,16M 52S
78,73,16M 28S
78,76,16M 9S
80,76,15M 34S
80,77,15M 16S
80,78,15M 16S
82,78,14M 58S
82,79,14M 47S
82,80,14M 47S
84,80,14M 23S
84,83,14M 6S
Jump ball: R. Westbrook vs. J. Murray (R. Hachimura gains possession),NA,13M 48S
86,83,13M 43S
86,86,13M 25S
86,88,12M 50S
87,88,12M 38S
88,88,12M 38S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,90,11M 47S
90,90,11M 12S
90,92,10M 58S
90,94,10M 30S
93,94,10M 21S
93,97,9M 7S
95,97,8M 43S
97,97,7M 29S
97,99,7M 5S
99,99,6M 55S
99,100,6M 36S
99,101,6M 36S
101,101,5M 21S
101,102,5M 8S
101,103,5M 8S
102,103,4M 49S
103,103,4M 49S
105,103,4M 23S
105,105,4M 8S
106,105,3M 24S
108,105,3M 7S
108,106,2M 50S
110,106,2M 25S
110,107,2M 19S
110,108,2M 19S
111,108,1M 57S
112,108,1M 57S
112,110,1M 15S
End of 4th quarter,NA,0S
