Denver,Philadelphia,time_rem
4-5,7-3,47M 59S
2,0,47M 52S
2,2,47M 34S
4,2,47M 19S
6,2,46M 52S
8,2,46M 29S
10,2,46M 1S
12,2,45M 23S
12,5,45M 6S
12,7,44M 37S
13,7,44M 23S
14,7,44M 23S
14,8,44M 8S
14,9,44M 8S
14,11,43M 36S
16,11,43M 24S
16,14,42M 47S
19,14,41M 50S
19,16,41M 36S
19,18,40M 30S
19,20,39M 26S
20,20,39M 11S
21,20,39M 11S
21,23,38M 54S
24,23,38M 43S
26,23,36M 49S
26,26,36M 32S
28,26,36M 14S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,28,35M 40S
30,28,35M 16S
30,30,34M 55S
32,30,33M 52S
32,32,33M 18S
34,32,32M 43S
35,32,32M 43S
37,32,32M 28S
37,34,31M 47S
37,36,31M 13S
37,39,30M 51S
40,39,30M 7S
40,41,29M 55S
41,41,29M 44S
42,41,29M 44S
42,43,28M 24S
45,43,28M 20S
45,45,28M 6S
47,45,27M 39S
50,45,27M 21S
51,45,26M 59S
52,45,26M 59S
52,47,26M 45S
54,47,26M 29S
56,47,26M 3S
56,49,25M 46S
58,49,24M 58S
58,51,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,53,23M 42S
59,53,23M 7S
60,53,23M 7S
62,53,22M 29S
62,55,22M 9S
65,55,21M 54S
67,55,21M 26S
70,55,20M 21S
70,58,20M 1S
72,58,19M 50S
75,58,19M 31S
75,60,18M 39S
77,60,18M 19S
77,62,18M 0S
79,62,17M 43S
79,65,17M 35S
82,65,16M 43S
82,67,16M 30S
82,69,16M 1S
85,69,15M 44S
85,70,14M 57S
87,70,14M 17S
88,70,14M 17S
88,72,13M 59S
90,72,12M 32S
91,72,12M 32S
93,72,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,74,11M 28S
95,74,11M 17S
95,76,9M 26S
95,78,8M 44S
97,78,8M 33S
97,80,8M 12S
99,80,7M 46S
99,81,7M 31S
101,81,6M 47S
101,84,6M 33S
104,84,6M 12S
104,86,4M 49S
106,86,4M 27S
106,89,3M 37S
108,89,3M 24S
108,91,3M 12S
111,91,2M 30S
113,91,2M 13S
113,92,2M 6S
113,93,2M 6S
113,95,1M 39S
115,95,1M 19S
115,98,1M 3S
115,101,39S
115,103,9S
End of 4th quarter,NA,0S
