Minnesota,Dallas,time_rem
6-18,11-14,48M 0S
0,3,47M 41S
3,3,47M 22S
5,3,46M 55S
5,5,46M 42S
5,7,45M 45S
6,7,45M 29S
7,7,45M 29S
7,9,45M 16S
9,9,44M 58S
9,10,44M 51S
9,11,44M 51S
9,14,44M 19S
12,14,43M 47S
14,14,43M 14S
14,16,42M 25S
14,17,42M 25S
14,20,41M 52S
17,20,41M 11S
17,23,41M 2S
19,23,40M 47S
19,25,40M 36S
19,26,39M 55S
19,27,39M 55S
19,29,39M 37S
20,29,39M 24S
20,31,39M 15S
20,32,39M 15S
22,32,38M 51S
22,34,38M 37S
22,37,37M 35S
22,38,37M 20S
22,41,36M 52S
22,43,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,43,35M 26S
23,45,35M 19S
24,45,35M 0S
25,45,34M 22S
26,45,34M 22S
28,45,34M 7S
28,46,33M 54S
29,46,33M 4S
30,46,33M 4S
31,46,33M 4S
31,48,32M 45S
34,48,32M 4S
34,50,31M 49S
34,53,31M 22S
36,53,31M 7S
37,53,31M 7S
37,56,30M 51S
38,56,29M 39S
39,56,29M 39S
39,58,28M 58S
39,59,28M 37S
39,60,28M 37S
39,62,28M 14S
39,64,27M 33S
42,64,27M 2S
42,67,26M 26S
44,67,26M 4S
44,69,25M 42S
47,69,25M 31S
49,69,24M 29S
49,71,24M 12S
51,71,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,73,23M 37S
53,73,22M 58S
55,73,22M 41S
58,73,21M 13S
61,73,20M 45S
61,75,20M 20S
61,76,19M 59S
62,76,19M 47S
62,78,19M 33S
62,80,18M 41S
62,82,18M 10S
64,82,17M 47S
64,84,17M 33S
66,84,17M 19S
68,84,16M 30S
71,84,15M 40S
71,85,15M 21S
71,86,15M 21S
73,86,15M 6S
73,89,14M 54S
74,89,14M 40S
74,91,13M 46S
74,93,13M 17S
77,93,12M 33S
77,94,12M 16S
77,95,12M 16S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,97,11M 49S
79,97,11M 32S
79,98,11M 21S
79,99,11M 21S
82,99,11M 10S
82,101,10M 53S
82,102,10M 53S
82,105,10M 22S
84,105,9M 35S
85,105,8M 50S
86,105,8M 50S
86,106,8M 39S
86,107,8M 39S
89,107,8M 2S
89,110,7M 45S
92,110,7M 23S
95,110,6M 35S
98,110,6M 7S
100,110,5M 46S
100,112,5M 23S
103,112,4M 59S
103,113,4M 44S
103,114,4M 44S
103,116,4M 12S
105,116,3M 58S
106,116,3M 24S
106,118,3M 6S
107,118,3M 0S
108,118,3M 0S
108,120,2M 50S
108,121,2M 50S
110,121,2M 39S
110,123,2M 16S
113,123,1M 58S
116,123,1M 34S
118,123,1M 18S
120,123,50S
120,125,27S
120,126,15S
120,127,15S
122,127,8S
End of 4th quarter,NA,0S
