Brooklyn,Golden State,time_rem
16-12,14-13,48M 0S
0,0,47M 44S
3,0,47M 25S
5,0,46M 51S
5,2,46M 41S
5,3,46M 11S
5,4,46M 11S
5,5,46M 11S
7,5,45M 1S
7,8,44M 58S
7,10,43M 56S
10,10,43M 51S
10,12,43M 33S
12,12,43M 23S
14,12,42M 57S
16,12,42M 18S
16,14,42M 5S
18,14,41M 49S
18,17,41M 35S
18,19,40M 51S
20,19,40M 37S
20,20,40M 25S
20,22,39M 24S
22,22,39M 8S
22,24,38M 58S
23,24,38M 47S
24,24,38M 47S
25,24,38M 25S
26,24,38M 25S
27,24,38M 2S
28,24,38M 2S
29,24,38M 2S
29,26,37M 53S
32,26,37M 20S
35,26,36M 49S
37,26,36M 29S
37,28,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,31,35M 17S
37,34,34M 5S
40,34,32M 56S
42,34,32M 35S
43,34,32M 18S
44,34,32M 18S
44,36,32M 2S
47,36,31M 51S
47,38,31M 38S
48,38,31M 29S
49,38,31M 29S
49,40,30M 55S
51,40,30M 40S
51,41,29M 29S
51,43,29M 2S
53,43,28M 5S
53,44,27M 53S
53,45,27M 53S
55,45,26M 58S
57,45,26M 33S
57,46,26M 18S
57,47,26M 18S
60,47,26M 7S
62,47,25M 16S
62,48,24M 58S
62,49,24M 58S
65,49,24M 38S
65,51,24M 31S
66,51,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,53,23M 19S
68,53,23M 0S
68,55,22M 43S
70,55,21M 38S
70,57,21M 0S
73,57,20M 49S
73,58,20M 33S
73,59,20M 33S
76,59,20M 19S
76,61,20M 6S
78,61,19M 55S
78,63,18M 58S
80,63,18M 51S
81,63,18M 51S
83,63,18M 23S
83,65,18M 7S
85,65,17M 51S
85,66,17M 39S
87,66,17M 19S
87,68,17M 6S
89,68,16M 53S
91,68,16M 27S
92,68,16M 27S
94,68,16M 1S
96,68,15M 40S
96,70,15M 31S
98,70,15M 18S
98,72,15M 7S
98,75,14M 39S
100,75,14M 13S
100,76,14M 0S
100,77,14M 0S
102,77,13M 9S
102,79,12M 49S
105,79,12M 34S
105,82,12M 27S
108,82,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
108,84,11M 37S
108,86,11M 7S
108,87,10M 33S
108,88,10M 33S
111,88,10M 11S
111,90,9M 6S
113,90,8M 52S
116,90,8M 31S
116,92,8M 16S
118,92,7M 56S
118,95,7M 38S
118,97,7M 13S
118,99,6M 55S
121,99,6M 34S
121,101,6M 12S
121,102,6M 12S
123,102,6M 0S
125,102,5M 36S
126,102,5M 36S
126,105,5M 9S
127,105,4M 53S
128,105,4M 53S
128,107,4M 43S
128,108,4M 43S
128,110,4M 21S
129,110,4M 4S
131,110,3M 38S
131,112,2M 57S
134,112,2M 34S
134,115,2M 8S
134,117,1M 1S
End of 4th quarter,NA,0S
