Milwaukee,LA Lakers,time_rem
30-17,30-18,48M 0S
2,0,47M 37S
3,0,46M 39S
4,0,46M 39S
6,0,46M 21S
6,3,45M 48S
6,5,45M 31S
9,5,44M 58S
9,8,44M 38S
11,8,44M 28S
11,11,44M 3S
11,14,43M 43S
11,17,42M 58S
13,17,42M 45S
13,20,41M 30S
16,20,40M 20S
16,23,40M 0S
18,23,39M 43S
18,26,38M 53S
18,28,38M 25S
21,28,38M 10S
21,30,37M 6S
24,30,36M 22S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,30,35M 35S
26,32,34M 4S
27,32,33M 55S
29,32,33M 21S
29,34,33M 3S
29,36,32M 50S
30,36,32M 25S
31,36,32M 25S
31,37,32M 6S
33,37,31M 53S
35,37,31M 14S
35,38,30M 51S
35,39,30M 51S
37,39,30M 29S
40,39,29M 25S
40,41,29M 4S
43,41,28M 45S
43,43,28M 18S
43,44,28M 2S
43,45,28M 2S
45,45,27M 39S
47,45,26M 57S
47,47,26M 43S
Jump ball: J. Holiday vs. D. Schröder (K. Middleton gains possession),NA,26M 25S
49,47,26M 17S
51,47,25M 45S
53,47,24M 58S
54,47,24M 44S
54,49,24M 28S
57,49,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,51,23M 46S
59,51,23M 35S
61,51,23M 32S
62,51,23M 4S
63,51,23M 4S
63,54,22M 48S
65,54,22M 27S
65,56,21M 58S
67,56,21M 42S
69,56,21M 15S
71,56,20M 44S
71,57,19M 41S
71,58,19M 41S
74,58,18M 57S
74,60,18M 46S
76,60,18M 25S
76,61,18M 3S
79,61,17M 15S
79,62,17M 1S
79,64,16M 52S
81,64,16M 42S
81,66,15M 51S
83,66,15M 34S
84,66,14M 40S
84,68,14M 31S
84,69,14M 31S
87,69,14M 20S
88,69,13M 47S
89,69,13M 47S
89,71,13M 40S
89,73,13M 20S
89,74,12M 45S
89,75,12M 45S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,75,11M 5S
90,77,10M 37S
90,80,10M 4S
92,80,9M 52S
94,80,9M 14S
94,82,8M 52S
96,82,8M 0S
96,84,7M 31S
99,84,6M 23S
99,86,6M 7S
101,86,5M 28S
101,88,4M 9S
101,89,4M 9S
102,89,3M 50S
103,89,3M 50S
103,90,3M 42S
103,91,3M 42S
106,91,3M 12S
109,91,2M 18S
109,93,1M 49S
109,94,1M 26S
109,95,1M 26S
112,95,1M 1S
112,97,18S
End of 4th quarter,NA,0S
