Houston,San Antonio,time_rem
4-7,7-6,48M 0S
0,0,47M 45S
0,2,46M 42S
3,2,46M 27S
3,4,46M 0S
3,6,45M 1S
3,7,44M 38S
3,8,44M 38S
6,8,44M 25S
8,8,43M 50S
10,8,43M 20S
11,8,42M 48S
12,8,42M 48S
14,8,42M 17S
15,8,42M 17S
15,10,42M 1S
17,10,41M 41S
20,10,41M 9S
20,12,40M 50S
22,12,40M 3S
22,14,39M 48S
22,16,39M 22S
22,18,38M 57S
25,18,38M 31S
25,20,37M 48S
26,20,37M 39S
27,20,37M 39S
28,20,37M 39S
28,21,37M 11S
30,21,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,23,35M 28S
30,24,35M 28S
33,24,35M 17S
33,26,34M 33S
34,26,34M 3S
34,28,33M 46S
36,28,33M 30S
36,30,32M 9S
36,32,31M 17S
36,34,30M 55S
36,35,30M 24S
36,36,30M 24S
38,36,29M 37S
38,38,29M 15S
40,38,29M 5S
43,38,28M 39S
43,41,27M 53S
45,41,26M 37S
46,41,26M 37S
46,42,26M 24S
46,43,26M 24S
48,43,26M 7S
48,45,25M 58S
48,46,25M 58S
50,46,25M 38S
50,48,25M 22S
50,49,24M 13S
50,50,24M 13S
53,50,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
Jump ball: C. Wood vs. D. DeRozan (B. McLemore gains possession),NA,23M 34S
55,50,22M 57S
55,52,22M 36S
58,52,22M 11S
58,54,21M 56S
58,56,21M 35S
60,56,21M 16S
60,58,20M 43S
60,60,20M 3S
63,60,19M 43S
63,62,19M 1S
63,64,18M 35S
63,65,18M 35S
63,67,17M 27S
63,69,16M 56S
64,69,16M 10S
65,69,16M 10S
66,69,14M 45S
69,69,13M 38S
71,69,13M 4S
72,69,13M 4S
72,72,12M 49S
72,75,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,75,11M 21S
74,77,11M 8S
74,79,10M 46S
74,81,10M 5S
76,81,9M 7S
76,82,8M 40S
79,82,8M 31S
79,83,8M 11S
79,84,8M 11S
79,85,8M 11S
81,85,7M 54S
82,85,7M 54S
82,87,6M 59S
83,87,6M 9S
83,90,5M 58S
85,90,5M 35S
85,93,4M 19S
85,95,3M 33S
85,97,3M 18S
85,99,2M 57S
85,100,2M 57S
86,100,2M 44S
87,100,2M 44S
90,100,2M 17S
91,100,1M 20S
91,101,58S
91,103,41S
End of 4th quarter,NA,0S
