Miami,Brooklyn,time_rem
6-10,11-8,48M 0S
3,0,47M 46S
5,0,46M 57S
7,0,46M 22S
8,0,46M 22S
8,2,45M 20S
8,3,45M 20S
8,5,44M 22S
10,5,44M 12S
13,5,43M 21S
13,7,43M 7S
13,8,43M 7S
15,8,40M 57S
15,9,40M 52S
15,10,40M 52S
17,10,40M 38S
17,11,39M 50S
17,12,39M 50S
17,14,39M 9S
19,14,38M 17S
21,14,36M 31S
21,15,36M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,15,35M 39S
23,15,35M 39S
23,17,35M 15S
23,19,34M 45S
23,20,33M 57S
23,21,33M 57S
25,21,33M 47S
25,24,33M 30S
27,24,32M 30S
29,24,32M 3S
29,26,30M 48S
31,26,30M 22S
31,28,30M 0S
31,30,29M 25S
33,30,29M 14S
35,30,28M 46S
35,32,28M 9S
35,34,27M 38S
37,34,27M 25S
37,36,26M 57S
37,38,26M 30S
40,38,26M 9S
42,38,25M 19S
45,38,24M 57S
45,41,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,44,23M 48S
45,45,22M 20S
45,46,22M 20S
48,46,22M 5S
48,48,21M 39S
49,48,21M 22S
50,48,21M 22S
50,50,20M 46S
50,51,20M 46S
53,51,20M 35S
53,53,19M 32S
53,54,19M 32S
56,54,19M 18S
56,55,19M 4S
58,55,18M 55S
58,56,18M 50S
61,56,17M 54S
61,58,16M 58S
61,61,16M 29S
61,64,15M 56S
64,64,15M 32S
65,64,14M 49S
66,64,14M 49S
68,64,14M 7S
68,66,13M 35S
68,67,12M 52S
68,68,12M 52S
68,70,12M 37S
71,70,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,73,10M 51S
72,73,10M 32S
74,73,9M 30S
74,74,9M 14S
74,75,9M 14S
74,78,8M 3S
76,78,7M 45S
78,78,7M 12S
78,81,6M 47S
79,81,6M 31S
80,81,6M 31S
80,84,4M 59S
80,86,4M 25S
80,88,3M 54S
80,91,3M 14S
80,94,2M 3S
80,96,1M 28S
83,96,55S
83,98,40S
84,98,25S
85,98,25S
End of 4th quarter,NA,0S
