San Antonio,Denver,time_rem
24-26,34-18,48M 0S
0,3,47M 49S
2,3,47M 34S
2,5,47M 12S
2,8,46M 40S
4,8,46M 19S
4,10,46M 5S
6,10,45M 11S
6,11,44M 25S
6,12,44M 25S
7,12,44M 11S
8,12,44M 11S
10,12,43M 34S
10,15,43M 24S
12,15,43M 8S
12,18,42M 23S
15,18,42M 2S
17,18,41M 31S
17,20,41M 17S
19,20,40M 59S
19,21,40M 34S
19,22,40M 34S
19,25,39M 54S
19,28,39M 16S
19,30,38M 45S
22,30,38M 26S
24,30,37M 59S
24,32,37M 38S
26,32,37M 22S
26,34,37M 11S
26,36,36M 52S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,39,35M 33S
26,41,34M 36S
26,42,34M 36S
26,44,34M 14S
28,44,33M 57S
29,44,33M 33S
30,44,33M 33S
31,44,32M 29S
31,47,32M 15S
33,47,32M 1S
33,49,31M 4S
33,51,30M 24S
35,51,30M 14S
37,51,29M 52S
39,51,29M 1S
39,54,28M 47S
41,54,27M 45S
42,54,27M 45S
44,54,27M 26S
45,54,27M 26S
45,56,27M 11S
45,58,26M 32S
47,58,26M 9S
47,61,24M 7S
50,61,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,61,23M 37S
52,63,23M 17S
54,63,22M 43S
55,63,22M 43S
55,65,22M 31S
57,65,22M 12S
57,67,21M 50S
59,67,21M 26S
59,69,21M 6S
61,69,20M 45S
61,71,20M 14S
64,71,19M 54S
64,72,19M 29S
64,73,19M 29S
67,73,19M 13S
69,73,18M 47S
69,75,18M 28S
71,75,17M 56S
71,76,17M 34S
71,77,17M 34S
73,77,17M 15S
74,77,16M 53S
75,77,16M 53S
75,79,16M 0S
77,79,15M 53S
78,79,15M 53S
78,81,15M 40S
78,83,15M 12S
78,84,15M 12S
78,85,14M 54S
78,86,14M 54S
81,86,14M 46S
81,88,14M 10S
82,88,13M 54S
83,88,13M 54S
83,91,13M 38S
83,94,13M 5S
83,95,12M 34S
83,96,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,96,11M 32S
86,98,10M 6S
87,98,10M 3S
88,98,10M 3S
88,100,9M 15S
89,100,9M 0S
90,100,9M 0S
91,100,8M 34S
92,100,8M 34S
94,100,8M 11S
96,100,7M 40S
96,103,7M 19S
96,104,6M 21S
96,105,6M 21S
97,105,6M 12S
99,105,6M 8S
99,107,5M 42S
101,107,5M 29S
101,109,5M 11S
103,109,4M 37S
103,111,4M 11S
103,114,3M 41S
106,114,3M 28S
108,114,2M 42S
110,114,2M 13S
110,115,1M 28S
110,116,1M 28S
113,116,1M 21S
113,118,1M 5S
114,118,1M 2S
115,118,1M 2S
117,118,24S
117,119,16S
117,120,16S
118,120,10S
119,120,10S
119,121,10S
End of 4th quarter,NA,0S
