Atlanta,Phoenix,time_rem
23-24,32-14,48M 0S
0,0,47M 40S
0,1,47M 18S
0,2,47M 18S
0,3,47M 18S
0,6,47M 7S
3,6,46M 54S
3,9,46M 12S
5,9,45M 41S
5,11,45M 27S
7,11,44M 55S
7,13,44M 36S
7,14,44M 36S
9,14,44M 25S
9,17,44M 4S
11,17,43M 41S
11,19,43M 30S
11,21,42M 47S
14,21,42M 28S
16,21,41M 16S
18,21,40M 53S
18,23,39M 45S
18,24,39M 45S
20,24,39M 30S
22,24,38M 19S
22,27,38M 0S
24,27,37M 40S
27,27,37M 16S
27,28,37M 0S
27,30,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,32,35M 34S
27,35,35M 7S
29,35,34M 38S
29,37,34M 20S
29,39,33M 46S
29,42,33M 17S
29,45,32M 30S
32,45,32M 22S
34,45,31M 19S
34,47,30M 59S
36,47,30M 51S
37,47,30M 51S
37,48,30M 38S
37,49,30M 38S
37,51,29M 59S
39,51,29M 41S
40,51,29M 41S
40,54,29M 31S
42,54,29M 11S
44,54,28M 48S
44,56,28M 35S
44,58,28M 7S
46,58,27M 55S
47,58,27M 31S
48,58,27M 31S
48,60,27M 12S
50,60,25M 40S
50,62,24M 55S
50,64,24M 33S
52,64,24M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,64,23M 32S
54,67,23M 16S
56,67,22M 40S
56,68,22M 6S
59,68,21M 46S
59,70,21M 34S
59,72,21M 9S
61,72,20M 11S
61,75,19M 54S
62,75,19M 32S
63,75,19M 32S
63,77,19M 23S
64,77,19M 14S
64,78,19M 2S
64,79,19M 2S
66,79,18M 47S
69,79,18M 1S
69,81,17M 35S
69,83,17M 1S
71,83,15M 58S
74,83,15M 29S
77,83,15M 2S
77,85,14M 45S
80,85,14M 23S
81,85,14M 10S
83,85,13M 38S
83,87,13M 15S
85,87,12M 28S
85,89,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,89,11M 43S
87,92,11M 15S
87,94,10M 41S
88,94,9M 53S
89,94,9M 53S
90,94,9M 53S
90,96,9M 40S
90,98,9M 13S
93,98,7M 56S
93,100,7M 37S
96,100,7M 4S
96,101,6M 7S
96,103,4M 49S
99,103,4M 31S
101,103,4M 3S
102,103,3M 31S
103,103,3M 31S
103,105,3M 20S
105,105,3M 5S
105,107,2M 6S
105,109,1M 23S
108,109,1M 8S
108,111,48S
108,114,23S
108,115,23S
109,115,20S
110,115,20S
110,116,13S
110,117,13S
End of 4th quarter,NA,0S
