Washington,Miami,time_rem
5-14,8-14,48M 0S
3,0,47M 36S
3,2,47M 19S
3,5,46M 27S
5,5,46M 14S
5,7,45M 29S
5,8,45M 15S
5,9,45M 15S
6,9,44M 55S
7,9,44M 55S
9,9,44M 34S
9,11,44M 22S
9,14,44M 2S
9,15,43M 42S
9,16,42M 37S
9,17,42M 37S
11,17,41M 53S
11,19,41M 25S
13,19,41M 14S
15,19,40M 42S
15,21,40M 27S
18,21,40M 8S
18,23,40M 2S
18,24,40M 2S
18,26,39M 30S
18,27,39M 19S
18,28,39M 19S
18,29,38M 31S
18,30,38M 31S
19,30,38M 11S
20,30,38M 11S
21,30,38M 11S
24,30,37M 33S
24,33,37M 19S
24,36,37M 6S
24,37,36M 44S
24,38,36M 44S
26,38,36M 35S
27,38,36M 35S
27,40,36M 13S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,42,35M 4S
27,44,34M 34S
28,44,34M 4S
29,44,34M 4S
31,44,32M 12S
31,47,31M 27S
33,47,31M 17S
34,47,31M 17S
34,50,31M 1S
34,52,30M 32S
34,55,30M 2S
35,55,28M 25S
35,56,28M 6S
35,58,27M 42S
36,58,27M 29S
37,58,27M 29S
37,60,27M 8S
37,62,26M 45S
39,62,26M 21S
39,64,26M 4S
41,64,25M 58S
41,66,25M 37S
41,68,25M 0S
43,68,24M 47S
43,70,24M 42S
43,71,24M 17S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,71,23M 22S
45,74,23M 7S
45,77,22M 37S
Jump ball: B. Adebayo vs. R. Hachimura (D. Avdija gains possession),NA,22M 3S
48,77,21M 46S
48,80,21M 22S
51,80,21M 11S
51,83,20M 53S
52,83,20M 31S
53,83,20M 31S
55,83,19M 49S
57,83,19M 5S
57,84,18M 44S
57,85,18M 44S
57,88,18M 11S
57,89,17M 8S
57,90,17M 8S
58,90,16M 55S
59,90,16M 55S
61,90,16M 22S
61,93,16M 15S
61,95,15M 38S
61,98,15M 16S
64,98,14M 53S
64,99,14M 14S
64,100,14M 14S
66,100,13M 57S
67,100,13M 26S
68,100,13M 26S
68,102,13M 8S
68,104,12M 57S
70,104,12M 15S
70,106,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,106,11M 22S
75,106,10M 59S
77,106,10M 20S
78,106,9M 6S
79,106,9M 6S
81,106,8M 51S
81,109,8M 29S
83,109,8M 11S
84,109,8M 11S
86,109,7M 44S
86,111,7M 0S
88,111,6M 41S
90,111,5M 49S
93,111,5M 16S
93,113,4M 32S
95,113,4M 12S
95,116,3M 50S
95,118,3M 4S
95,120,2M 25S
95,122,45S
End of 4th quarter,NA,0S
