Charlotte,LA Lakers,time_rem
20-20,28-13,48M 0S
0,0,47M 45S
2,0,47M 42S
3,0,47M 42S
3,3,47M 31S
3,5,46M 32S
5,5,46M 14S
7,5,45M 37S
7,7,45M 17S
7,9,44M 52S
9,9,44M 44S
10,9,44M 44S
10,11,44M 26S
10,12,44M 6S
10,13,44M 6S
12,13,43M 53S
12,15,43M 5S
14,15,42M 51S
14,18,42M 29S
14,20,41M 25S
14,21,40M 45S
17,21,39M 57S
19,21,39M 23S
19,23,39M 11S
19,24,38M 34S
19,25,38M 34S
21,25,38M 6S
22,25,38M 6S
22,27,37M 17S
22,28,36M 45S
24,28,36M 35S
24,31,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,31,35M 43S
26,33,34M 53S
29,33,34M 23S
29,34,34M 2S
29,35,34M 2S
Jump ball: M. Harrell vs. P. Washington (L. James gains possession),NA,33M 45S
29,37,33M 26S
30,37,32M 43S
31,37,32M 43S
31,39,32M 28S
31,41,32M 10S
31,43,31M 25S
33,43,31M 6S
33,46,30M 13S
33,48,29M 47S
33,51,29M 21S
35,51,28M 43S
38,51,28M 13S
40,51,27M 55S
40,53,26M 38S
40,55,26M 1S
42,55,25M 6S
44,55,24M 48S
45,55,24M 48S
45,58,24M 35S
45,60,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,60,23M 38S
48,60,23M 38S
50,60,23M 11S
52,60,22M 42S
Jump ball: L. James vs. P. Washington (D. Schröder gains possession),NA,22M 21S
52,62,22M 15S
55,62,21M 36S
55,64,21M 21S
58,64,21M 6S
61,64,20M 40S
62,64,19M 50S
64,64,18M 51S
64,65,18M 6S
64,68,17M 32S
66,68,17M 18S
66,71,17M 2S
66,74,16M 28S
68,74,15M 57S
71,74,15M 15S
71,77,14M 43S
74,77,14M 29S
74,79,14M 10S
Jump ball: B. Biyombo vs. M. Harrell (L. Ball gains possession),NA,13M 31S
76,79,13M 26S
76,81,13M 7S
79,81,12M 50S
79,83,12M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,86,11M 45S
82,86,10M 33S
85,86,10M 13S
85,89,9M 58S
85,91,9M 27S
85,93,8M 50S
85,96,8M 26S
87,96,8M 9S
87,98,8M 1S
89,98,7M 53S
89,100,7M 29S
91,100,7M 23S
92,100,7M 23S
92,101,7M 10S
92,102,7M 10S
92,103,7M 1S
92,104,7M 1S
94,104,5M 58S
95,104,5M 39S
97,104,5M 4S
97,106,4M 38S
99,106,4M 15S
99,108,3M 58S
100,108,2M 36S
101,108,2M 36S
101,110,2M 19S
101,112,1M 43S
103,112,1M 33S
103,113,1M 23S
103,114,1M 23S
103,116,15S
105,116,6S
End of 4th quarter,NA,0S
