Boston,New York,time_rem
36-36,41-31,48M 0S
0,0,47M 46S
3,0,47M 22S
3,3,47M 1S
3,6,46M 41S
3,9,46M 12S
6,9,45M 56S
8,9,45M 34S
8,10,44M 19S
8,11,44M 19S
8,13,43M 7S
10,13,42M 16S
12,13,41M 36S
12,16,41M 18S
15,16,41M 5S
15,18,40M 43S
17,18,39M 53S
17,20,38M 57S
19,20,38M 3S
19,22,37M 21S
20,22,37M 2S
21,22,37M 2S
23,22,36M 33S
23,23,36M 22S
24,23,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,25,35M 42S
24,26,35M 42S
27,26,35M 9S
27,28,34M 51S
30,28,33M 33S
30,30,33M 19S
30,32,32M 50S
31,32,32M 26S
32,32,32M 26S
32,35,31M 10S
33,35,30M 37S
35,35,30M 12S
35,37,28M 23S
35,38,28M 6S
35,39,28M 6S
37,39,27M 43S
37,42,27M 19S
38,42,27M 7S
39,42,27M 7S
39,45,26M 57S
39,46,26M 24S
39,47,26M 24S
39,49,26M 7S
39,51,25M 37S
39,54,24M 35S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
39,55,23M 19S
42,55,22M 50S
44,55,21M 33S
45,55,21M 33S
45,57,20M 25S
48,57,19M 1S
48,60,18M 31S
48,61,17M 57S
48,62,17M 57S
48,64,17M 31S
48,67,17M 6S
50,67,16M 51S
50,69,16M 35S
52,69,16M 17S
52,72,15M 53S
54,72,15M 37S
54,74,15M 10S
54,75,15M 10S
56,75,14M 55S
58,75,14M 21S
61,75,13M 50S
61,76,13M 33S
61,77,13M 33S
63,77,13M 22S
65,77,12M 33S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
65,80,11M 35S
68,80,11M 21S
68,82,10M 56S
70,82,10M 36S
70,85,10M 21S
70,87,9M 21S
72,87,8M 54S
72,89,8M 27S
74,89,8M 1S
74,91,7M 38S
77,91,7M 18S
78,91,6M 52S
80,91,6M 14S
83,91,5M 43S
85,91,5M 12S
87,91,4M 15S
89,91,3M 7S
89,93,2M 47S
90,93,2M 30S
92,93,2M 13S
92,95,1M 54S
92,96,12S
End of 4th quarter,NA,0S
