Portland,Denver,time_rem
1-1,1-1,48M 0S
0,0,47M 38S
3,0,47M 23S
3,2,47M 11S
5,2,46M 59S
5,4,46M 49S
5,6,46M 11S
5,9,45M 40S
5,12,45M 16S
7,12,44M 28S
7,14,44M 12S
7,17,43M 41S
7,19,42M 38S
9,19,42M 19S
9,21,42M 0S
12,21,41M 45S
12,22,41M 33S
12,23,41M 33S
13,23,41M 9S
14,23,41M 9S
14,25,40M 51S
14,27,40M 23S
17,27,39M 52S
20,27,39M 18S
20,29,38M 32S
23,29,38M 12S
23,31,37M 51S
24,31,37M 31S
25,31,37M 31S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,34,35M 37S
25,35,35M 16S
25,36,35M 16S
26,36,35M 2S
27,36,35M 2S
27,38,34M 47S
27,40,34M 20S
28,40,33M 59S
29,40,33M 59S
29,42,33M 47S
29,45,33M 24S
32,45,33M 0S
32,46,32M 43S
32,47,32M 43S
32,48,32M 43S
34,48,32M 29S
34,50,32M 8S
35,50,31M 54S
35,52,31M 29S
35,53,31M 29S
37,53,30M 53S
37,54,30M 40S
37,55,30M 40S
40,55,30M 25S
40,57,30M 0S
43,57,29M 46S
46,57,29M 17S
46,59,29M 2S
46,60,28M 38S
46,61,28M 38S
48,61,28M 23S
51,61,27M 41S
52,61,27M 16S
53,61,27M 16S
53,63,27M 6S
54,63,26M 54S
55,63,26M 54S
58,63,26M 17S
58,65,26M 3S
61,65,25M 49S
61,67,25M 35S
61,69,25M 2S
61,70,25M 2S
61,73,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,73,24M 0S
64,73,23M 11S
64,74,22M 13S
64,76,21M 59S
66,76,20M 15S
66,79,19M 50S
66,81,19M 32S
68,81,19M 5S
70,81,18M 18S
70,84,17M 57S
71,84,17M 44S
72,84,17M 44S
74,84,17M 7S
74,85,16M 47S
74,87,16M 39S
74,88,16M 27S
74,89,16M 27S
74,91,16M 15S
77,91,15M 48S
77,93,14M 57S
77,94,14M 14S
77,95,13M 46S
77,96,13M 46S
78,96,13M 38S
79,96,13M 38S
79,99,13M 18S
81,99,13M 0S
81,100,12M 45S
81,101,12M 45S
84,101,12M 30S
87,101,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,101,11M 32S
89,101,11M 32S
90,101,11M 3S
90,103,10M 49S
92,103,10M 31S
92,104,10M 15S
92,105,10M 15S
92,107,9M 45S
94,107,8M 54S
94,110,8M 35S
94,112,8M 15S
94,114,7M 41S
96,114,7M 30S
98,114,7M 4S
98,116,5M 46S
98,118,5M 12S
100,118,5M 6S
100,121,4M 40S
101,121,3M 55S
102,121,3M 55S
102,123,3M 37S
102,125,3M 5S
104,125,2M 45S
106,125,1M 39S
106,128,1M 21S
109,128,43S
End of 4th quarter,NA,0S
