San Antonio,Houston,time_rem
13-10,11-11,48M 0S
0,0,47M 49S
2,0,47M 33S
2,2,47M 15S
4,2,47M 3S
7,2,46M 15S
7,5,46M 1S
7,7,45M 30S
9,7,44M 50S
11,7,44M 20S
13,7,43M 20S
15,7,42M 3S
16,7,42M 3S
16,9,41M 53S
16,12,40M 5S
19,12,39M 46S
19,14,39M 8S
20,14,38M 57S
21,14,38M 57S
22,14,38M 19S
23,14,38M 19S
23,17,38M 6S
25,17,37M 48S
25,20,37M 36S
25,21,37M 7S
25,23,36M 46S
27,23,36M 37S
29,23,36M 13S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,23,35M 47S
31,25,34M 29S
31,27,34M 4S
33,27,33M 44S
36,27,32M 44S
36,29,31M 50S
38,29,31M 35S
41,29,31M 9S
41,32,30M 54S
41,33,30M 38S
41,34,30M 38S
41,36,29M 59S
42,36,29M 3S
43,36,28M 11S
44,36,28M 11S
44,38,27M 46S
44,40,27M 9S
44,41,25M 35S
44,42,25M 35S
47,42,25M 9S
47,43,24M 55S
47,45,24M 34S
49,45,24M 19S
49,47,24M 3S
51,47,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,47,23M 13S
53,49,22M 24S
55,49,21M 21S
58,49,20M 49S
58,51,20M 27S
58,54,20M 3S
60,54,19M 40S
60,56,19M 26S
61,56,19M 17S
62,56,19M 17S
62,59,18M 19S
64,59,17M 31S
66,59,17M 8S
67,59,17M 8S
69,59,16M 48S
70,59,16M 47S
70,61,16M 32S
72,61,16M 12S
72,62,16M 3S
72,63,16M 3S
72,64,16M 3S
Jump ball: D. Cousins vs. D. DeRozan (D. Nwaba gains possession),NA,15M 39S
75,64,15M 10S
75,66,14M 49S
77,66,14M 29S
77,69,14M 18S
79,69,13M 54S
80,69,13M 25S
81,69,13M 25S
82,69,13M 25S
82,72,13M 12S
82,73,12M 33S
82,74,12M 33S
84,74,12M 16S
84,76,12M 5S
84,77,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,77,11M 29S
87,79,11M 1S
87,81,10M 33S
87,83,9M 38S
89,83,9M 14S
89,86,8M 59S
90,86,8M 44S
90,89,8M 26S
92,89,8M 5S
92,90,7M 50S
92,91,7M 50S
94,91,7M 35S
96,91,6M 59S
96,93,6M 15S
97,93,5M 56S
98,93,5M 56S
98,94,5M 5S
98,97,4M 37S
98,98,4M 13S
98,100,3M 29S
99,100,3M 1S
100,100,3M 1S
101,100,2M 42S
102,100,2M 42S
102,102,1M 51S
103,102,1M 37S
104,102,1M 37S
106,102,1M 3S
107,102,1M 3S
107,104,25S
108,104,15S
109,104,15S
109,105,14S
109,106,14S
110,106,13S
111,106,13S
End of 4th quarter,NA,0S
