Boston,LA Clippers,time_rem
12-9,17-7,48M 0S
0,0,47M 47S
0,1,47M 26S
0,2,47M 26S
0,3,47M 26S
0,5,47M 1S
2,5,46M 43S
2,8,46M 14S
4,8,45M 59S
4,11,45M 40S
4,13,45M 7S
4,15,44M 8S
7,15,42M 43S
7,17,42M 28S
9,17,41M 59S
9,20,41M 32S
12,20,41M 13S
14,20,40M 34S
16,20,40M 10S
16,21,39M 54S
16,22,39M 54S
19,22,39M 42S
19,25,39M 24S
19,27,38M 49S
19,29,37M 51S
19,31,37M 19S
21,31,36M 36S
21,33,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,33,35M 6S
23,35,34M 19S
26,35,33M 41S
29,35,33M 20S
29,38,32M 34S
32,38,32M 9S
32,41,31M 58S
32,43,31M 22S
33,43,31M 0S
34,43,31M 0S
37,43,30M 40S
37,46,30M 27S
37,48,29M 55S
38,48,29M 42S
40,48,29M 36S
40,50,29M 24S
40,53,28M 13S
40,54,27M 47S
40,55,27M 47S
40,56,27M 33S
42,56,27M 3S
42,58,26M 43S
44,58,26M 15S
45,58,25M 36S
46,58,25M 6S
47,58,25M 6S
47,60,24M 52S
49,60,24M 47S
49,62,24M 30S
51,62,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,62,23M 20S
56,62,22M 47S
56,63,21M 33S
56,64,21M 33S
59,64,21M 15S
59,67,20M 48S
61,67,20M 25S
61,68,20M 12S
61,69,20M 12S
61,71,19M 34S
63,71,19M 22S
63,73,18M 35S
66,73,18M 16S
68,73,17M 48S
71,73,17M 14S
74,73,16M 37S
74,75,16M 19S
77,75,15M 38S
79,75,14M 56S
79,77,14M 45S
79,78,14M 17S
79,79,14M 17S
81,79,14M 1S
84,79,13M 32S
87,79,12M 57S
89,79,12M 37S
89,82,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,84,11M 46S
92,84,11M 22S
92,85,11M 10S
94,85,10M 51S
94,87,10M 24S
96,87,10M 3S
96,89,9M 45S
96,91,9M 12S
96,94,8M 43S
98,94,8M 22S
100,94,7M 24S
100,96,7M 16S
100,97,7M 16S
102,97,6M 53S
102,99,6M 36S
102,102,5M 29S
104,102,5M 11S
104,104,4M 27S
106,104,4M 15S
106,106,3M 54S
106,108,2M 46S
107,108,2M 26S
108,108,2M 26S
109,108,2M 26S
110,108,2M 7S
111,108,2M 7S
111,109,1M 56S
111,112,46S
113,112,32S
114,112,26S
115,112,26S
116,112,13S
117,112,13S
117,115,9S
118,115,5S
119,115,5S
End of 4th quarter,NA,0S
