Sacramento,LA Lakers,time_rem
26-37,36-27,48M 0S
0,0,47M 37S
0,2,47M 4S
1,2,46M 15S
2,2,46M 15S
2,4,46M 5S
5,4,45M 54S
5,5,45M 32S
5,6,45M 32S
7,6,45M 23S
7,7,44M 54S
10,7,43M 43S
12,7,42M 47S
12,9,42M 3S
14,9,41M 17S
14,11,40M 59S
16,11,40M 47S
18,11,40M 19S
20,11,39M 32S
20,13,38M 58S
23,13,38M 40S
25,13,38M 0S
25,15,37M 48S
28,15,37M 39S
29,15,37M 8S
30,15,37M 8S
30,17,36M 58S
30,18,36M 29S
30,19,36M 29S
30,21,36M 1S
30,23,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,23,34M 44S
32,23,34M 44S
34,23,34M 27S
34,24,34M 17S
34,26,34M 12S
34,29,33M 38S
34,32,33M 9S
34,34,32M 31S
37,34,32M 19S
37,36,32M 8S
37,39,31M 43S
37,41,31M 13S
39,41,30M 54S
39,44,30M 41S
41,44,30M 29S
41,46,29M 53S
42,46,29M 30S
42,48,29M 12S
42,50,28M 50S
44,50,27M 59S
46,50,27M 37S
46,52,27M 23S
46,53,26M 42S
46,54,26M 42S
47,54,26M 0S
48,54,26M 0S
48,56,25M 51S
50,56,25M 37S
53,56,25M 9S
55,56,24M 43S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,56,23M 42S
57,58,23M 18S
59,58,22M 34S
59,61,22M 16S
59,63,21M 57S
59,64,20M 57S
59,65,20M 57S
61,65,20M 47S
61,67,19M 59S
62,67,19M 36S
63,67,19M 36S
63,69,19M 24S
65,69,19M 6S
66,69,19M 6S
66,71,18M 54S
69,71,18M 11S
69,73,17M 53S
71,73,17M 32S
71,75,17M 9S
73,75,16M 17S
73,77,15M 47S
73,78,15M 47S
73,79,15M 23S
73,81,14M 58S
75,81,14M 42S
75,83,14M 28S
75,86,13M 23S
78,86,13M 9S
78,87,12M 27S
78,88,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,88,11M 40S
81,90,11M 26S
83,90,11M 6S
83,92,10M 38S
83,94,10M 8S
85,94,9M 56S
88,94,9M 39S
91,94,8M 13S
93,94,7M 51S
93,96,7M 19S
94,96,6M 18S
96,96,5M 16S
97,96,5M 16S
97,97,4M 57S
99,97,3M 52S
100,97,3M 17S
101,97,3M 17S
101,99,3M 11S
104,99,2M 45S
104,101,2M 28S
106,101,2M 9S
106,104,1M 50S
107,104,57S
108,104,57S
108,106,39S
109,106,0S
110,106,0S
End of 4th quarter,NA,0S
