Indiana,Sacramento,time_rem
6-4,5-6,48M 0S
0,0,47M 45S
2,0,47M 40S
4,0,47M 18S
6,0,46M 56S
6,1,46M 44S
6,2,46M 44S
6,4,46M 3S
8,4,44M 51S
10,4,44M 29S
10,6,43M 30S
10,7,43M 30S
12,7,43M 13S
12,10,43M 2S
12,12,42M 29S
14,12,42M 0S
14,15,41M 41S
17,15,41M 23S
17,17,41M 19S
19,17,41M 7S
19,18,40M 36S
19,20,40M 9S
19,22,39M 36S
22,22,39M 25S
22,25,39M 7S
22,28,38M 23S
24,28,38M 13S
25,28,37M 41S
26,28,37M 41S
28,28,37M 10S
30,28,36M 31S
30,29,36M 13S
30,30,36M 13S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,30,35M 46S
33,30,35M 15S
33,31,35M 8S
33,32,35M 8S
35,32,34M 52S
37,32,34M 22S
37,34,34M 6S
40,34,33M 54S
40,36,33M 42S
40,38,33M 27S
40,40,33M 2S
42,40,32M 46S
42,41,32M 38S
42,43,32M 27S
43,43,32M 6S
44,43,32M 6S
44,45,31M 42S
44,48,30M 46S
46,48,30M 29S
46,50,30M 18S
48,50,29M 55S
50,50,29M 21S
50,52,29M 1S
51,52,28M 31S
52,52,28M 31S
52,54,27M 38S
55,54,27M 28S
55,56,26M 46S
57,56,26M 34S
59,56,25M 58S
59,58,25M 35S
59,60,24M 55S
61,60,24M 46S
61,62,24M 32S
64,62,24M 14S
64,65,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,65,22M 40S
66,66,22M 20S
69,66,21M 57S
69,69,21M 24S
71,69,21M 12S
71,72,20M 59S
71,74,20M 33S
74,74,20M 15S
74,77,19M 59S
74,79,19M 17S
74,82,18M 40S
74,84,18M 0S
76,84,17M 24S
77,84,17M 24S
77,86,16M 34S
77,89,16M 3S
78,89,15M 29S
79,89,15M 29S
82,89,14M 51S
82,91,14M 30S
85,91,14M 17S
85,93,14M 2S
87,93,13M 41S
88,93,13M 18S
89,93,13M 18S
89,95,12M 56S
91,95,12M 49S
91,97,12M 34S
93,97,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,100,11M 32S
93,103,11M 9S
94,103,10M 58S
97,103,10M 10S
97,105,9M 14S
97,106,9M 14S
99,106,9M 0S
99,108,8M 48S
102,108,8M 39S
102,110,7M 48S
104,110,7M 12S
107,110,6M 49S
109,110,5M 22S
110,110,5M 22S
110,112,5M 0S
110,113,4M 33S
112,113,4M 9S
113,113,4M 9S
115,113,3M 34S
115,116,2M 33S
117,116,1M 52S
117,117,1M 45S
117,118,1M 45S
117,121,1M 9S
117,123,33S
119,123,29S
119,124,27S
119,125,27S
119,126,17S
119,127,8S
122,127,4S
End of 4th quarter,NA,0S
