Utah,LA Clippers,time_rem
2-1,1-2,48M 0S
2,0,47M 37S
5,0,47M 15S
8,0,46M 46S
8,3,46M 25S
10,3,44M 40S
10,5,44M 10S
10,8,43M 43S
10,10,43M 11S
10,12,41M 36S
13,12,40M 55S
13,14,40M 35S
13,16,39M 55S
16,16,39M 37S
16,18,39M 17S
16,19,38M 51S
16,20,38M 51S
18,20,38M 10S
18,23,38M 0S
21,23,37M 35S
21,25,37M 16S
23,25,37M 0S
23,27,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,28,35M 40S
26,28,35M 19S
26,31,35M 0S
29,31,34M 5S
29,33,33M 40S
29,36,33M 3S
31,36,32M 31S
31,39,32M 20S
33,39,31M 34S
33,42,31M 22S
36,42,31M 7S
36,44,30M 39S
39,44,30M 21S
39,46,29M 59S
39,47,29M 20S
41,47,29M 7S
41,49,28M 53S
41,51,28M 8S
41,54,27M 42S
41,57,26M 54S
44,57,26M 36S
44,59,25M 43S
47,59,25M 25S
47,62,25M 7S
48,62,24M 5S
49,62,24M 5S
49,64,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,66,22M 58S
50,66,22M 52S
52,66,22M 26S
52,69,22M 12S
54,69,21M 58S
55,69,20M 51S
56,69,20M 51S
56,71,20M 33S
56,73,20M 2S
57,73,19M 54S
58,73,19M 54S
58,75,19M 37S
61,75,19M 23S
61,77,19M 14S
63,77,19M 1S
63,79,18M 44S
64,79,18M 38S
65,79,18M 38S
68,79,17M 55S
70,79,17M 18S
70,82,17M 4S
73,82,16M 49S
73,84,16M 29S
76,84,16M 2S
76,87,15M 41S
76,88,14M 37S
76,89,14M 37S
77,89,14M 32S
78,89,14M 32S
78,91,14M 21S
79,91,14M 10S
80,91,14M 10S
80,94,13M 33S
83,94,12M 56S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,95,11M 28S
83,96,11M 28S
85,96,11M 14S
85,99,11M 0S
87,99,10M 43S
89,99,9M 52S
89,102,9M 21S
92,102,8M 48S
92,104,8M 30S
92,106,8M 6S
95,106,7M 18S
95,108,6M 56S
95,109,6M 56S
95,110,6M 32S
95,113,6M 0S
95,116,5M 22S
98,116,5M 1S
98,118,4M 36S
98,120,3M 36S
98,122,2M 48S
98,123,2M 48S
98,125,2M 15S
99,125,2M 1S
100,125,2M 1S
100,128,1M 37S
102,128,1M 20S
102,129,1M 6S
102,130,1M 6S
104,130,52S
104,132,34S
106,132,20S
End of 4th quarter,NA,0S
