LA Clippers,Dallas,time_rem
26-16,21-18,48M 0S
2,0,47M 39S
2,3,47M 21S
4,3,46M 32S
4,4,45M 40S
4,5,45M 40S
6,5,45M 19S
6,8,45M 3S
6,10,44M 26S
9,10,43M 42S
11,10,43M 14S
11,12,42M 50S
11,14,42M 12S
13,14,42M 0S
13,16,41M 42S
15,16,41M 7S
16,16,41M 7S
18,16,40M 44S
20,16,40M 7S
20,18,38M 55S
21,18,38M 41S
21,21,38M 17S
21,22,38M 17S
24,22,38M 4S
25,22,37M 32S
25,24,37M 21S
27,24,37M 3S
29,24,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,26,35M 46S
31,26,35M 27S
31,28,35M 8S
33,28,34M 50S
35,28,34M 32S
35,31,34M 13S
36,31,33M 57S
37,31,33M 57S
37,32,33M 7S
37,33,33M 7S
37,35,32M 42S
37,37,32M 15S
40,37,31M 52S
40,40,31M 38S
40,43,30M 58S
40,44,30M 43S
40,45,30M 43S
42,45,29M 51S
44,45,28M 44S
44,48,28M 12S
44,50,27M 55S
46,50,27M 19S
46,51,26M 11S
48,51,25M 58S
48,53,25M 50S
51,53,25M 1S
51,56,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,57,23M 40S
51,58,23M 40S
53,58,22M 31S
53,60,22M 12S
53,63,21M 38S
53,66,21M 5S
54,66,20M 8S
56,66,19M 35S
59,66,18M 59S
61,66,17M 13S
61,68,16M 58S
61,70,16M 16S
63,70,16M 4S
63,73,15M 44S
63,75,14M 45S
63,77,14M 25S
65,77,13M 43S
Jump ball: K. Porziņģis vs. M. Morris (J. Brunson gains possession),NA,12M 53S
68,77,12M 31S
71,77,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,80,11M 3S
71,82,10M 30S
73,82,8M 52S
73,84,8M 34S
75,84,8M 22S
75,87,7M 34S
77,87,7M 20S
77,89,6M 49S
79,89,5M 54S
79,91,5M 41S
81,91,5M 14S
81,94,4M 58S
81,96,4M 22S
83,96,3M 35S
83,98,3M 9S
86,98,2M 59S
89,98,2M 21S
89,100,2M 1S
89,102,1M 27S
89,105,45S
End of 4th quarter,NA,0S
