Minnesota,Phoenix,time_rem
10-32,27-13,48M 0S
2,0,47M 33S
2,2,47M 14S
2,3,46M 40S
2,4,46M 40S
2,7,46M 13S
4,7,46M 3S
6,7,45M 25S
7,7,45M 25S
7,9,44M 43S
7,12,44M 23S
9,12,44M 11S
10,12,44M 11S
10,14,43M 55S
12,14,43M 45S
15,14,43M 31S
17,14,42M 52S
17,17,42M 41S
20,17,42M 22S
20,19,41M 50S
20,21,41M 11S
20,22,40M 38S
20,23,40M 38S
23,23,39M 42S
23,25,39M 25S
25,25,38M 46S
25,28,37M 52S
27,28,37M 31S
27,30,36M 46S
27,32,36M 14S
29,32,36M 2S
29,33,36M 0S
29,34,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,37,35M 49S
30,37,35M 29S
31,37,35M 29S
31,39,35M 13S
33,39,34M 49S
34,39,33M 53S
35,39,33M 53S
35,41,33M 7S
35,43,32M 23S
38,43,32M 4S
40,43,31M 40S
42,43,31M 17S
43,43,31M 17S
45,43,30M 47S
45,46,30M 34S
47,46,30M 12S
47,49,29M 59S
47,51,29M 19S
47,53,28M 41S
47,56,28M 18S
47,58,27M 40S
47,60,26M 45S
49,60,26M 28S
49,62,26M 18S
52,62,26M 4S
52,64,24M 53S
53,64,24M 32S
54,64,24M 32S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,64,22M 42S
57,64,22M 11S
60,64,21M 42S
62,64,21M 15S
65,64,20M 37S
66,64,20M 24S
69,64,19M 39S
69,66,19M 26S
69,67,19M 11S
69,69,17M 43S
69,71,16M 53S
72,71,16M 37S
72,72,16M 11S
72,73,16M 11S
72,74,16M 11S
74,74,15M 58S
76,74,15M 18S
76,76,15M 0S
78,76,14M 46S
78,78,14M 31S
78,81,13M 36S
78,83,13M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,86,11M 3S
81,86,10M 51S
81,87,10M 26S
81,89,9M 28S
81,92,8M 57S
81,94,8M 36S
84,94,8M 18S
84,97,7M 36S
86,97,7M 20S
86,99,6M 16S
86,101,4M 59S
89,101,4M 46S
89,103,3M 53S
89,106,3M 27S
89,107,3M 27S
89,109,2M 50S
91,109,2M 36S
91,112,2M 19S
92,112,2M 9S
95,112,1M 43S
97,112,1M 21S
97,113,1M 0S
99,113,41S
100,113,23S
101,113,23S
End of 4th quarter,NA,0S
