Golden State,LA Lakers,time_rem
NA,NA,48M 0S
0,0,47M 37S
2,0,47M 23S
2,2,47M 10S
5,2,46M 55S
7,2,46M 21S
9,2,45M 35S
9,4,44M 29S
12,4,44M 18S
15,4,43M 38S
Jump ball: A. Davis vs. K. Looney (A. Drummond gains possession),NA,43M 2S
15,7,42M 40S
15,8,41M 56S
15,9,41M 56S
15,10,41M 12S
17,10,40M 59S
17,13,40M 43S
17,16,40M 13S
18,16,40M 0S
19,16,40M 0S
20,16,39M 36S
20,18,38M 49S
20,19,38M 13S
22,19,37M 49S
24,19,37M 2S
25,19,37M 2S
25,21,36M 55S
28,21,36M 46S
28,22,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,25,35M 30S
31,25,34M 49S
31,26,33M 11S
33,26,31M 56S
35,26,31M 38S
35,28,30M 52S
35,30,30M 22S
37,30,30M 4S
38,30,29M 44S
40,30,28M 56S
40,33,28M 36S
43,33,28M 2S
43,35,27M 30S
46,35,27M 17S
46,37,26M 20S
49,37,25M 58S
49,38,25M 43S
49,40,24M 48S
52,40,24M 29S
52,42,24M 10S
55,42,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,43,23M 26S
55,44,23M 26S
55,45,22M 48S
55,46,22M 48S
55,48,22M 32S
55,49,22M 32S
57,49,22M 18S
57,51,21M 58S
57,52,21M 17S
57,53,21M 17S
57,56,20M 47S
58,56,20M 27S
59,56,20M 27S
60,56,20M 27S
62,56,19M 49S
62,58,19M 30S
65,58,18M 47S
67,58,18M 6S
67,60,17M 51S
69,60,17M 31S
72,60,17M 7S
72,63,16M 46S
72,65,16M 14S
72,66,16M 14S
74,66,15M 59S
74,68,14M 17S
74,70,13M 48S
76,70,13M 27S
76,73,13M 5S
76,75,12M 44S
79,75,12M 29S
79,77,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,79,11M 45S
79,81,11M 5S
79,83,10M 23S
79,85,9M 50S
80,85,9M 37S
80,87,8M 36S
83,87,8M 25S
85,87,7M 50S
85,90,7M 29S
87,90,6M 53S
89,90,6M 24S
89,91,5M 56S
91,91,5M 42S
91,93,5M 14S
93,93,5M 3S
93,95,4M 3S
96,95,3M 43S
98,95,3M 8S
98,96,2M 26S
98,97,2M 26S
98,98,2M 7S
98,100,1M 31S
99,100,1M 23S
100,100,1M 23S
100,103,58S
End of 4th quarter,NA,0S
