Utah,Orlando,time_rem
27-7,13-21,48M 0S
0,0,47M 35S
0,2,47M 1S
2,2,46M 43S
4,2,46M 13S
4,4,45M 38S
7,4,45M 15S
7,6,44M 56S
9,6,44M 24S
9,8,44M 3S
9,9,43M 25S
11,9,42M 41S
11,11,42M 12S
11,13,41M 48S
13,13,41M 14S
15,13,40M 40S
15,16,40M 27S
17,16,38M 35S
17,19,38M 20S
20,19,38M 7S
20,21,36M 31S
22,21,36M 12S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,24,35M 19S
22,27,34M 33S
22,29,34M 4S
25,29,33M 48S
25,31,33M 31S
28,31,33M 17S
31,31,32M 23S
33,31,31M 54S
36,31,31M 16S
36,33,30M 21S
39,33,29M 51S
39,36,29M 28S
39,38,29M 7S
39,39,29M 7S
41,39,28M 42S
42,39,28M 3S
43,39,28M 3S
43,42,27M 52S
43,45,27M 2S
43,47,26M 34S
45,47,26M 15S
46,47,25M 46S
47,47,25M 46S
50,47,25M 40S
50,50,25M 0S
52,50,24M 44S
54,50,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,52,23M 51S
57,52,23M 32S
57,54,23M 19S
59,54,23M 7S
61,54,22M 37S
61,56,22M 27S
64,56,21M 41S
64,59,20M 59S
66,59,20M 44S
69,59,20M 7S
70,59,19M 38S
71,59,19M 38S
72,59,19M 38S
72,61,19M 11S
74,61,18M 8S
74,63,17M 35S
74,65,17M 6S
77,65,16M 42S
78,65,16M 13S
79,65,16M 13S
79,67,15M 56S
79,68,15M 43S
79,70,15M 30S
81,70,14M 54S
81,72,14M 32S
83,72,14M 17S
85,72,13M 44S
85,74,13M 29S
87,74,13M 0S
87,76,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,76,11M 41S
90,79,11M 4S
90,82,10M 39S
93,82,9M 58S
95,82,9M 16S
97,82,8M 40S
97,85,8M 14S
100,85,7M 58S
102,85,7M 24S
103,85,7M 4S
104,85,7M 4S
104,87,6M 53S
105,87,6M 29S
106,87,6M 29S
106,88,6M 17S
106,89,6M 17S
107,89,6M 5S
108,89,6M 5S
108,91,5M 54S
109,91,5M 43S
110,91,5M 43S
110,93,5M 29S
112,93,5M 12S
112,95,4M 58S
112,98,4M 26S
112,100,4M 1S
115,100,3M 49S
115,102,2M 54S
118,102,2M 31S
118,105,2M 15S
120,105,1M 49S
122,105,1M 17S
122,107,59S
122,108,39S
122,109,39S
124,109,23S
End of 4th quarter,NA,0S
