Indiana,Philadelphia,time_rem
15-18,23-12,48M 0S
0,0,47M 46S
0,2,47M 13S
2,2,46M 52S
3,2,46M 52S
5,2,46M 28S
5,5,46M 8S
7,5,45M 49S
9,5,45M 31S
11,5,45M 6S
11,7,44M 51S
14,7,44M 40S
14,9,44M 3S
16,9,43M 54S
16,12,43M 40S
16,14,43M 19S
16,16,43M 3S
16,19,42M 12S
19,19,41M 39S
19,20,41M 25S
19,21,41M 25S
19,23,40M 55S
21,23,40M 44S
23,23,38M 43S
25,23,38M 25S
25,25,37M 41S
25,27,37M 18S
27,27,37M 4S
27,28,36M 48S
27,29,36M 48S
29,29,36M 39S
30,29,36M 39S
30,32,36M 33S
30,33,36M 33S
31,33,36M 28S
32,33,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,35,35M 27S
33,35,34M 13S
34,35,34M 13S
34,38,33M 54S
34,40,33M 0S
36,40,32M 45S
36,41,32M 30S
36,44,32M 15S
37,44,31M 38S
38,44,31M 38S
38,46,31M 24S
40,46,31M 18S
40,49,30M 58S
40,52,30M 32S
42,52,30M 14S
42,54,30M 0S
44,54,29M 49S
44,57,29M 32S
44,59,29M 11S
44,61,28M 42S
44,63,28M 6S
47,63,27M 55S
47,65,27M 7S
47,67,26M 46S
48,67,25M 44S
49,67,25M 44S
51,67,25M 12S
51,68,24M 52S
51,69,24M 52S
53,69,24M 36S
53,72,24M 27S
55,72,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,72,23M 49S
60,72,23M 14S
61,72,23M 14S
61,74,22M 0S
61,76,21M 30S
61,77,21M 30S
61,79,21M 6S
61,81,20M 40S
Jump ball: B. Simmons vs. M. Brogdon (S. Curry gains possession),NA,20M 2S
61,83,19M 57S
61,85,18M 25S
61,87,17M 56S
63,87,17M 41S
63,90,17M 14S
63,92,16M 50S
65,92,15M 56S
65,94,15M 35S
65,95,15M 10S
65,96,15M 10S
67,96,14M 32S
68,96,14M 2S
68,98,13M 41S
70,98,13M 32S
70,101,13M 16S
72,101,13M 4S
72,103,12M 53S
74,103,12M 32S
74,105,12M 8S
76,105,12M 1S
77,105,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,105,11M 32S
82,105,10M 38S
82,107,10M 24S
84,107,10M 18S
84,109,9M 59S
84,110,9M 36S
84,111,9M 36S
86,111,9M 2S
87,111,8M 40S
89,111,8M 9S
91,111,7M 31S
91,114,6M 50S
91,117,6M 29S
93,117,6M 15S
96,117,6M 1S
96,119,5M 35S
97,119,5M 25S
98,119,5M 25S
100,119,4M 43S
100,122,4M 21S
103,122,4M 12S
Jump ball: G. Bitadze vs. T. Ferguson (A. Holiday gains possession),NA,3M 14S
103,124,2M 47S
105,124,2M 29S
105,126,1M 56S
107,126,1M 51S
107,127,1M 32S
107,128,1M 32S
110,128,1M 23S
110,130,1M 11S
112,130,46S
113,130,22S
114,130,22S
End of 4th quarter,NA,0S
