Utah,Phoenix,time_rem
38-13,36-14,48M 0S
0,0,47M 43S
2,0,47M 32S
2,2,46M 40S
2,4,45M 59S
2,7,45M 24S
2,9,44M 27S
2,10,43M 59S
2,11,43M 59S
2,13,43M 39S
4,13,42M 54S
6,13,42M 0S
8,13,41M 30S
8,15,40M 52S
11,15,40M 4S
11,17,39M 39S
14,17,39M 26S
14,19,39M 8S
14,20,38M 40S
16,20,38M 4S
Jump ball: D. Booker vs. G. Niang (D. Šarić gains possession),NA,37M 45S
19,20,37M 12S
21,20,36M 35S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,20,35M 15S
23,21,34M 34S
23,23,33M 55S
23,26,33M 28S
25,26,33M 7S
25,27,32M 35S
25,28,32M 35S
25,30,32M 11S
25,32,31M 46S
27,32,30M 32S
27,34,30M 9S
27,36,29M 51S
29,36,29M 32S
31,36,28M 52S
31,37,28M 43S
31,38,28M 43S
32,38,27M 58S
32,41,26M 58S
32,43,26M 40S
34,43,26M 27S
35,43,25M 52S
36,43,25M 52S
36,45,25M 39S
38,45,25M 18S
38,47,25M 5S
38,49,24M 41S
38,50,24M 9S
38,51,24M 9S
40,51,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
42,51,23M 46S
44,51,23M 18S
45,51,23M 18S
47,51,22M 59S
47,54,22M 22S
49,54,21M 34S
49,56,21M 20S
49,58,20M 38S
Jump ball: R. Gobert vs. J. Crowder (J. Crowder gains possession),NA,20M 17S
52,58,19M 59S
52,60,19M 45S
54,60,19M 20S
54,61,18M 54S
54,62,18M 54S
57,62,18M 44S
59,62,18M 7S
59,64,17M 51S
59,66,16M 47S
60,66,16M 41S
60,67,16M 30S
62,67,16M 12S
63,67,16M 12S
63,69,15M 47S
65,69,15M 23S
65,72,15M 4S
68,72,14M 29S
70,72,13M 59S
71,72,13M 59S
71,75,13M 37S
74,75,13M 21S
74,77,12M 41S
76,77,12M 27S
78,77,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,79,11M 35S
81,79,11M 15S
81,82,10M 2S
81,84,9M 20S
83,84,9M 4S
86,84,8M 33S
88,84,8M 2S
89,84,8M 2S
89,86,7M 35S
89,89,7M 11S
91,89,6M 33S
91,91,5M 38S
91,93,5M 13S
93,93,4M 48S
93,95,4M 31S
96,95,3M 56S
96,97,2M 37S
96,100,2M 5S
98,100,1M 48S
99,100,1M 48S
99,102,1M 34S
102,102,10S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: R. Gobert vs. D. Ayton (D. Booker gains possession),NA,5M 0S
102,104,4M 55S
102,107,3M 36S
104,107,3M 18S
104,109,3M 4S
106,109,2M 5S
106,111,1M 40S
108,111,1M 24S
108,114,1M 2S
110,114,52S
112,114,21S
112,115,12S
113,115,9S
113,116,7S
113,117,7S
End of 1st overtime,NA,0S
