Boston,Brooklyn,time_rem
19-18,25-13,48M 0S
0,0,47M 46S
2,0,47M 5S
2,2,46M 49S
2,3,46M 24S
2,4,46M 24S
5,4,46M 12S
7,4,45M 49S
7,6,44M 24S
9,6,44M 10S
11,6,43M 50S
13,6,43M 24S
13,8,43M 8S
15,8,42M 23S
17,8,41M 41S
17,10,40M 54S
17,13,40M 20S
19,13,39M 58S
19,16,39M 43S
22,16,38M 21S
24,16,37M 52S
27,16,37M 32S
27,18,37M 16S
28,18,37M 6S
29,18,37M 6S
29,21,36M 57S
29,23,36M 35S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
Jump ball: J. Harden vs. R. Williams (N. Claxton gains possession),NA,35M 13S
29,24,35M 3S
29,25,35M 3S
30,25,34M 45S
31,25,34M 45S
31,28,33M 52S
33,28,33M 15S
33,30,32M 58S
36,30,32M 47S
36,33,32M 33S
38,33,31M 57S
38,36,31M 41S
38,38,31M 3S
Jump ball: G. Williams vs. J. Harden (J. Brown gains possession),NA,30M 34S
41,38,29M 51S
41,41,29M 30S
41,42,29M 3S
41,43,29M 3S
43,43,28M 52S
43,44,28M 41S
43,45,28M 41S
45,45,28M 29S
45,47,28M 4S
45,48,28M 4S
45,51,27M 46S
46,51,27M 0S
47,51,27M 0S
47,54,26M 11S
49,54,25M 53S
51,54,25M 9S
51,56,24M 51S
54,56,24M 36S
55,56,24M 7S
55,58,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,58,23M 47S
59,58,22M 26S
61,58,22M 5S
64,58,21M 33S
64,60,21M 13S
64,63,20M 46S
67,63,20M 30S
67,65,19M 27S
70,65,19M 20S
70,67,19M 2S
70,69,18M 36S
72,69,17M 28S
72,71,17M 6S
73,71,16M 54S
74,71,16M 54S
74,74,16M 32S
74,76,16M 4S
77,76,15M 37S
77,77,15M 21S
80,77,15M 2S
80,80,14M 50S
80,82,14M 22S
80,83,13M 40S
80,84,13M 40S
80,85,13M 40S
82,85,13M 38S
82,88,13M 29S
84,88,13M 10S
85,88,12M 15S
86,88,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,90,11M 38S
88,90,11M 22S
88,93,11M 6S
88,95,10M 30S
90,95,10M 4S
90,96,9M 17S
90,97,9M 17S
90,100,8M 56S
93,100,8M 33S
95,100,8M 3S
97,100,7M 28S
97,103,7M 8S
99,103,6M 46S
99,106,6M 28S
Jump ball: J. Brown vs. J. Harden (J. Tatum gains possession),NA,5M 40S
Jump ball: D. Theis vs. D. Jordan (K. Walker gains possession),NA,5M 35S
101,106,5M 24S
101,108,5M 13S
102,108,4M 38S
103,108,4M 38S
104,108,4M 38S
106,108,4M 17S
106,110,3M 42S
106,113,3M 14S
109,113,2M 55S
109,116,2M 4S
109,117,1M 42S
109,118,1M 42S
109,120,43S
109,121,15S
End of 4th quarter,NA,0S
