Memphis,New Orleans,time_rem
9-9,10-12,48M 0S
0,0,47M 42S
2,0,46M 50S
2,3,46M 37S
3,3,46M 12S
3,5,45M 55S
3,6,44M 47S
3,7,44M 47S
3,10,44M 20S
6,10,43M 48S
8,10,43M 20S
8,13,43M 1S
8,15,42M 19S
11,15,42M 0S
11,16,41M 47S
11,17,41M 47S
14,17,41M 30S
14,19,41M 12S
17,19,41M 4S
17,21,40M 40S
17,23,39M 56S
20,23,39M 41S
23,23,39M 23S
23,26,39M 9S
25,26,38M 36S
25,29,37M 52S
27,29,37M 24S
27,31,36M 48S
29,31,36M 31S
30,31,36M 31S
33,31,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,31,35M 13S
35,33,34M 57S
37,33,34M 44S
39,33,34M 25S
40,33,33M 56S
40,35,33M 45S
40,37,33M 15S
42,37,32M 59S
44,37,32M 4S
47,37,31M 34S
49,37,30M 51S
49,39,30M 17S
49,42,29M 22S
52,42,29M 7S
52,44,27M 51S
54,44,27M 34S
54,47,27M 21S
57,47,27M 8S
57,49,26M 54S
59,49,26M 25S
59,52,26M 11S
59,54,25M 43S
59,56,25M 2S
59,58,24M 40S
59,60,24M 22S
60,60,24M 5S
61,60,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,63,23M 21S
61,65,22M 53S
61,66,22M 53S
62,66,22M 41S
63,66,22M 41S
63,67,22M 23S
63,68,22M 23S
65,68,22M 10S
65,70,21M 58S
67,70,21M 42S
68,70,20M 55S
68,73,20M 41S
70,73,19M 12S
72,73,18M 32S
72,75,18M 10S
74,75,17M 54S
76,75,17M 26S
77,75,16M 29S
78,75,16M 29S
78,76,16M 21S
78,77,16M 21S
81,77,16M 9S
81,79,15M 48S
81,80,15M 25S
83,80,15M 6S
83,82,14M 51S
85,82,14M 22S
85,83,14M 16S
85,84,14M 16S
85,86,13M 50S
86,86,13M 30S
87,86,13M 30S
89,86,13M 17S
89,88,12M 53S
91,88,12M 14S
91,90,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,93,11M 48S
93,93,11M 36S
95,93,10M 53S
98,93,9M 50S
98,95,9M 1S
100,95,8M 0S
101,95,7M 19S
102,95,7M 19S
102,98,6M 47S
102,100,6M 12S
104,100,5M 50S
104,103,5M 34S
104,105,4M 27S
104,107,3M 46S
104,110,2M 56S
104,113,2M 13S
104,115,1M 42S
107,115,1M 26S
107,116,1M 7S
108,116,57S
109,116,57S
109,118,34S
End of 4th quarter,NA,0S
