Golden State,Washington,time_rem
29-30,25-33,48M 0S
2,0,47M 41S
2,1,47M 1S
2,2,47M 1S
2,5,46M 20S
4,5,45M 56S
6,5,45M 35S
6,7,45M 30S
6,9,45M 3S
6,12,44M 10S
6,13,43M 44S
6,14,43M 44S
6,15,43M 23S
6,16,43M 23S
9,16,42M 45S
9,18,42M 25S
9,20,42M 15S
11,20,41M 18S
11,21,41M 2S
11,23,39M 52S
13,23,39M 36S
13,25,39M 2S
13,27,38M 39S
15,27,38M 24S
15,28,38M 13S
18,28,37M 53S
18,29,37M 15S
18,30,37M 15S
18,33,36M 55S
18,35,36M 30S
19,35,36M 9S
20,35,36M 9S
20,38,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,38,35M 18S
22,40,35M 0S
24,40,34M 40S
24,43,34M 28S
26,43,34M 8S
29,43,33M 53S
31,43,33M 22S
34,43,33M 2S
34,44,33M 0S
36,44,32M 43S
38,44,32M 19S
40,44,31M 35S
41,44,30M 47S
42,44,30M 47S
43,44,29M 38S
44,44,29M 38S
44,45,29M 7S
44,48,27M 50S
46,48,27M 37S
46,49,27M 26S
46,50,27M 26S
49,50,26M 56S
49,52,26M 27S
49,54,26M 2S
50,54,25M 49S
51,54,25M 49S
51,56,25M 14S
53,56,25M 3S
53,58,24M 41S
54,58,24M 40S
55,58,24M 40S
55,60,24M 33S
58,60,24M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,62,23M 43S
58,63,22M 56S
58,64,22M 56S
58,67,22M 33S
61,67,21M 45S
Jump ball: K. Bazemore vs. A. Len (D. Bertāns gains possession),NA,21M 22S
62,67,21M 9S
63,67,21M 9S
63,70,20M 57S
63,72,19M 54S
65,72,19M 41S
68,72,19M 20S
71,72,18M 45S
72,72,18M 21S
74,72,18M 17S
75,72,17M 40S
76,72,17M 40S
76,74,17M 6S
79,74,16M 50S
81,74,16M 27S
81,76,15M 17S
82,76,15M 7S
83,76,15M 7S
85,76,14M 40S
85,78,14M 27S
85,79,14M 27S
88,79,14M 14S
88,81,14M 0S
88,82,13M 50S
88,84,13M 22S
88,85,13M 1S
88,86,13M 1S
91,86,12M 41S
93,86,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,89,11M 11S
95,89,10M 55S
98,89,9M 32S
98,91,9M 13S
98,92,8M 45S
98,93,8M 45S
101,93,7M 16S
104,93,6M 58S
104,94,5M 53S
104,95,5M 53S
104,96,5M 11S
104,97,4M 5S
104,98,4M 5S
104,100,3M 45S
104,102,3M 17S
106,102,2M 52S
106,104,2M 44S
106,105,2M 44S
108,105,2M 33S
108,106,2M 18S
108,107,2M 18S
108,110,2M 0S
109,110,1M 41S
110,110,1M 41S
110,112,1M 25S
110,114,55S
112,114,50S
112,116,26S
114,116,21S
114,117,5S
114,118,5S
End of 4th quarter,NA,0S
