Atlanta,Boston,time_rem
12-16,14-14,48M 0S
0,0,47M 37S
2,0,47M 15S
2,2,46M 58S
2,4,46M 43S
4,4,46M 35S
4,6,46M 16S
6,6,45M 46S
6,8,45M 35S
8,8,45M 24S
10,8,44M 56S
12,8,44M 30S
12,9,44M 18S
12,10,44M 18S
12,13,43M 50S
14,13,43M 40S
15,13,43M 40S
17,13,43M 17S
17,15,42M 59S
19,15,42M 24S
19,18,42M 9S
20,18,42M 4S
21,18,42M 4S
21,20,41M 29S
21,22,40M 46S
24,22,40M 37S
24,24,40M 7S
24,26,39M 35S
25,26,38M 18S
26,26,38M 18S
26,28,38M 6S
27,28,37M 59S
28,28,37M 59S
28,30,37M 41S
30,30,37M 18S
30,32,37M 0S
33,32,36M 45S
33,33,36M 35S
33,34,36M 28S
33,35,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,37,35M 51S
35,37,35M 23S
36,37,34M 53S
36,39,34M 37S
38,39,33M 3S
38,41,32M 44S
41,41,32M 21S
41,44,32M 0S
43,44,31M 26S
45,44,30M 53S
47,44,30M 27S
49,44,29M 5S
49,45,28M 18S
49,46,28M 18S
51,46,27M 58S
51,48,27M 39S
53,48,27M 17S
55,48,26M 31S
55,51,26M 9S
56,51,25M 31S
57,51,25M 31S
57,54,25M 14S
59,54,24M 39S
60,54,24M 39S
60,56,24M 24S
62,56,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,56,23M 20S
65,58,22M 51S
65,59,22M 29S
65,60,22M 29S
67,60,21M 54S
67,61,21M 27S
67,62,21M 27S
70,62,21M 15S
70,65,21M 3S
72,65,20M 15S
72,67,20M 1S
74,67,19M 41S
76,67,19M 13S
76,69,18M 59S
76,71,18M 27S
76,72,17M 46S
76,73,17M 46S
78,73,17M 13S
80,73,16M 53S
80,75,16M 19S
82,75,16M 0S
82,77,15M 42S
84,77,14M 27S
85,77,14M 27S
85,78,13M 43S
85,79,13M 43S
85,81,13M 5S
87,81,12M 43S
90,81,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,84,11M 28S
91,84,11M 12S
92,84,11M 12S
92,86,10M 37S
92,89,9M 55S
94,89,9M 22S
94,91,9M 2S
95,91,8M 49S
96,91,8M 38S
97,91,8M 38S
97,93,7M 26S
100,93,7M 12S
102,93,6M 33S
103,93,5M 56S
103,95,5M 40S
104,95,5M 10S
105,95,5M 10S
108,95,4M 32S
108,98,4M 11S
110,98,3M 47S
110,100,3M 34S
110,101,3M 0S
110,102,3M 0S
110,104,2M 38S
112,104,2M 23S
114,104,1M 54S
114,105,1M 38S
114,106,1M 38S
116,106,1M 16S
116,107,1M 8S
116,108,1M 8S
117,108,54S
118,108,54S
118,111,50S
118,112,13S
118,113,13S
118,114,13S
119,114,11S
120,114,11S
121,114,4S
122,114,4S
End of 4th quarter,NA,0S
