New York,Indiana,time_rem
0-1,1-0,48M 0S
0,0,47M 40S
0,2,46M 29S
0,4,46M 2S
3,4,45M 22S
3,7,45M 10S
6,7,44M 53S
6,9,44M 30S
6,11,43M 58S
6,12,43M 58S
8,12,43M 45S
8,13,43M 25S
8,14,43M 25S
11,14,43M 8S
11,17,42M 49S
11,19,42M 35S
14,19,42M 16S
14,20,42M 0S
14,21,42M 0S
16,21,41M 26S
18,21,41M 5S
20,21,40M 42S
20,23,40M 13S
22,23,39M 56S
22,25,39M 38S
22,27,39M 15S
24,27,39M 6S
25,27,39M 6S
27,27,38M 50S
30,27,38M 10S
30,29,37M 46S
30,30,37M 15S
30,31,37M 15S
30,33,36M 45S
30,35,36M 25S
31,35,36M 2S
32,35,36M 2S
33,35,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,35,35M 43S
35,37,35M 13S
36,37,34M 9S
37,37,34M 9S
37,38,33M 46S
40,38,33M 24S
40,40,33M 2S
42,40,32M 42S
42,42,32M 30S
42,43,31M 58S
42,45,31M 36S
44,45,30M 27S
45,45,30M 27S
45,47,30M 9S
48,47,29M 39S
49,47,29M 9S
51,47,28M 13S
51,50,28M 0S
52,50,27M 49S
53,50,27M 49S
55,50,27M 32S
55,53,27M 5S
57,53,26M 46S
59,53,26M 22S
59,55,26M 6S
59,56,26M 6S
59,58,25M 45S
61,58,25M 24S
61,60,25M 16S
61,61,25M 16S
64,61,25M 4S
66,61,24M 46S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,63,23M 2S
68,63,22M 0S
68,65,21M 44S
71,65,21M 34S
71,68,21M 15S
71,70,20M 44S
73,70,20M 26S
74,70,20M 2S
74,72,19M 40S
74,74,18M 43S
77,74,18M 29S
77,76,18M 11S
77,78,17M 49S
77,80,16M 47S
77,81,16M 47S
77,83,15M 50S
80,83,15M 34S
Jump ball: J. Holiday vs. R. Barrett (A. Holiday gains possession),NA,14M 31S
82,83,13M 54S
82,84,13M 25S
82,86,13M 5S
82,88,12M 44S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,90,11M 40S
83,90,11M 22S
84,90,11M 22S
84,92,11M 7S
87,92,10M 48S
87,95,10M 30S
88,95,9M 39S
88,97,8M 50S
90,97,8M 41S
90,98,8M 2S
90,99,8M 2S
90,101,7M 18S
92,101,7M 3S
92,104,6M 45S
92,106,6M 4S
92,107,5M 47S
92,108,5M 17S
92,109,5M 17S
93,109,5M 10S
93,111,4M 58S
95,111,4M 41S
95,113,4M 31S
96,113,4M 19S
96,114,3M 49S
98,114,3M 39S
99,114,3M 39S
99,116,3M 9S
101,116,2M 55S
103,116,1M 56S
105,116,1M 29S
105,117,55S
105,118,55S
107,118,46S
107,121,25S
End of 4th quarter,NA,0S
