Philadelphia,Memphis,time_rem
9-5,6-6,48M 0S
0,0,47M 44S
2,0,47M 0S
4,0,46M 35S
6,0,46M 14S
6,3,45M 39S
8,3,44M 45S
8,5,44M 27S
10,5,44M 8S
10,7,43M 29S
12,7,43M 16S
13,7,43M 16S
13,10,42M 49S
13,12,42M 9S
15,12,41M 20S
15,14,41M 15S
15,15,41M 15S
17,15,40M 46S
17,17,39M 8S
20,17,38M 45S
22,17,38M 25S
22,20,38M 10S
24,20,37M 51S
24,22,37M 38S
24,23,37M 10S
26,23,36M 57S
26,24,36M 52S
26,25,36M 52S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,27,35M 16S
29,27,35M 9S
29,30,34M 45S
31,30,34M 28S
31,31,34M 17S
31,32,34M 17S
31,34,34M 1S
31,36,33M 38S
34,36,33M 10S
34,38,32M 33S
34,40,31M 54S
36,40,31M 45S
37,40,31M 45S
39,40,31M 22S
39,42,30M 43S
39,44,30M 14S
41,44,29M 58S
41,46,29M 43S
42,46,29M 17S
43,46,29M 17S
43,48,29M 7S
45,48,28M 50S
46,48,28M 32S
47,48,28M 32S
48,48,28M 10S
49,48,28M 10S
49,50,27M 20S
50,50,27M 7S
51,50,27M 7S
51,51,26M 51S
51,52,26M 51S
52,52,26M 34S
52,54,26M 24S
54,54,26M 10S
54,56,25M 54S
54,58,25M 23S
54,60,24M 55S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,62,23M 46S
55,62,22M 57S
55,64,22M 45S
56,64,22M 19S
56,66,22M 8S
59,66,21M 32S
59,68,21M 20S
61,68,21M 2S
61,70,20M 54S
62,70,20M 36S
63,70,20M 36S
63,72,20M 27S
65,72,20M 12S
65,74,18M 58S
66,74,18M 34S
67,74,18M 34S
67,76,17M 44S
67,78,17M 26S
69,78,16M 50S
72,78,15M 27S
73,78,15M 5S
74,78,15M 5S
74,81,14M 24S
75,81,13M 53S
76,81,13M 53S
76,83,13M 30S
76,85,13M 7S
76,88,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,90,11M 33S
79,90,11M 22S
79,93,11M 0S
81,93,10M 44S
83,93,10M 18S
83,95,9M 58S
83,96,9M 6S
85,96,8M 56S
88,96,8M 33S
88,98,8M 11S
90,98,7M 59S
90,100,7M 34S
92,100,6M 27S
93,100,6M 4S
94,100,6M 4S
96,100,5M 29S
96,103,4M 29S
98,103,4M 7S
98,104,3M 54S
98,105,3M 54S
100,105,3M 9S
102,105,2M 1S
Jump ball: D. Howard vs. J. Morant (S. Milton gains possession),NA,1M 45S
104,105,1M 25S
104,106,5S
End of 4th quarter,NA,0S
