San Antonio,Sacramento,time_rem
32-34,29-38,48M 0S
2,0,47M 45S
4,0,47M 11S
7,0,46M 50S
7,2,46M 26S
9,2,46M 4S
9,4,45M 27S
11,4,44M 51S
11,6,44M 12S
13,6,43M 57S
13,9,43M 12S
15,9,42M 10S
16,9,41M 51S
17,9,41M 51S
18,9,40M 54S
19,9,40M 54S
19,11,40M 14S
21,11,39M 47S
21,14,39M 25S
22,14,39M 3S
23,14,39M 3S
23,17,37M 49S
25,17,37M 27S
25,19,37M 17S
25,21,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,21,35M 21S
28,22,35M 4S
28,23,35M 4S
30,23,34M 53S
30,25,34M 1S
30,26,33M 27S
30,29,32M 36S
32,29,32M 17S
32,31,31M 57S
34,31,31M 45S
34,33,31M 30S
36,33,31M 11S
36,35,30M 28S
38,35,29M 48S
38,36,29M 35S
40,36,29M 20S
40,38,29M 8S
42,38,28M 56S
42,40,28M 44S
44,40,28M 5S
44,42,26M 55S
45,42,26M 18S
46,42,26M 18S
46,44,26M 3S
46,47,25M 38S
48,47,25M 26S
48,49,25M 2S
50,49,24M 49S
52,49,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,51,23M 49S
54,51,23M 37S
54,53,23M 21S
56,53,23M 4S
56,54,22M 43S
56,55,22M 43S
58,55,22M 20S
58,57,22M 0S
60,57,21M 44S
60,60,21M 17S
62,60,20M 58S
64,60,20M 13S
64,63,19M 36S
66,63,18M 46S
67,63,18M 46S
67,65,17M 51S
67,68,17M 28S
67,70,16M 42S
67,72,16M 13S
69,72,15M 54S
69,75,15M 31S
69,77,15M 3S
72,77,14M 52S
74,77,13M 19S
74,78,13M 2S
74,79,13M 2S
76,79,12M 46S
76,81,12M 31S
78,81,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,81,11M 44S
81,81,11M 44S
81,84,11M 32S
83,84,11M 7S
85,84,10M 32S
88,84,10M 4S
90,84,9M 12S
92,84,8M 49S
92,87,8M 31S
94,87,8M 11S
96,87,7M 17S
96,89,6M 54S
97,89,6M 21S
98,89,6M 21S
100,89,5M 49S
100,91,5M 3S
100,92,5M 3S
100,95,4M 37S
100,97,4M 21S
100,99,3M 43S
101,99,3M 29S
103,99,3M 3S
103,102,2M 37S
105,102,2M 14S
107,102,1M 45S
Jump ball: R. Holmes vs. J. Poeltl (R. Holmes gains possession),NA,1M 29S
109,102,1M 10S
110,102,17S
111,102,17S
111,104,12S
112,104,5S
113,104,5S
End of 4th quarter,NA,0S
