Houston,Toronto,time_rem
11-20,17-17,48M 0S
0,0,47M 37S
2,0,47M 20S
2,2,46M 30S
5,2,45M 49S
5,4,45M 32S
5,7,45M 10S
7,7,44M 56S
10,7,44M 30S
10,10,44M 14S
10,13,43M 43S
13,13,43M 26S
13,15,43M 14S
16,15,42M 59S
16,17,41M 56S
16,18,41M 29S
16,19,41M 29S
18,19,41M 16S
18,21,40M 49S
20,21,40M 39S
21,21,40M 18S
22,21,40M 18S
23,21,40M 18S
24,21,39M 43S
25,21,39M 43S
26,21,39M 11S
29,21,38M 14S
29,22,37M 51S
29,23,37M 51S
29,26,37M 0S
30,26,36M 50S
31,26,36M 50S
31,27,36M 42S
31,28,36M 42S
31,29,36M 7S
31,30,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,30,35M 5S
33,33,34M 52S
33,36,34M 36S
35,36,34M 27S
35,38,34M 16S
38,38,34M 2S
38,40,33M 42S
38,41,33M 19S
38,44,33M 10S
40,44,32M 52S
40,46,32M 31S
40,49,31M 59S
40,51,31M 12S
43,51,30M 40S
43,52,30M 21S
44,52,30M 12S
46,52,29M 19S
46,53,28M 59S
46,54,28M 59S
Jump ball: D. House vs. C. Boucher (J. Wall gains possession),NA,27M 54S
Jump ball: C. Boucher vs. D. House (P. McCaw gains possession),NA,27M 43S
46,55,27M 22S
46,56,27M 22S
46,57,27M 22S
48,57,27M 11S
49,57,26M 38S
50,57,26M 38S
50,60,26M 27S
50,62,25M 41S
50,64,25M 14S
50,65,25M 14S
52,65,25M 2S
52,66,24M 57S
52,67,24M 57S
54,67,24M 36S
55,67,24M 36S
56,67,24M 31S
59,67,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,70,23M 32S
61,70,23M 20S
61,72,23M 3S
61,74,22M 24S
61,75,21M 54S
61,76,21M 54S
62,76,21M 36S
63,76,21M 36S
63,79,21M 19S
63,81,20M 37S
63,82,18M 58S
63,83,18M 58S
63,86,18M 20S
65,86,18M 0S
67,86,17M 36S
70,86,16M 41S
70,88,15M 9S
73,88,14M 27S
73,90,14M 11S
75,90,13M 31S
75,92,13M 25S
75,95,12M 51S
77,95,12M 38S
80,95,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,95,10M 43S
84,95,10M 2S
86,95,9M 51S
88,95,9M 23S
88,97,8M 51S
88,99,8M 3S
90,99,7M 52S
90,101,7M 42S
92,101,7M 31S
93,101,6M 32S
94,101,6M 32S
94,103,6M 20S
94,104,6M 20S
94,106,5M 57S
97,106,5M 44S
97,109,5M 20S
100,109,5M 2S
103,109,4M 28S
103,111,3M 16S
105,111,2M 59S
105,114,2M 27S
105,115,1M 45S
105,116,1M 45S
105,118,1M 33S
108,118,1M 23S
108,121,1M 14S
111,121,1M 2S
Jump ball: V. Oladipo vs. N. Powell (J. Wall gains possession),NA,52S
111,122,46S
End of 4th quarter,NA,0S
