Atlanta,Charlotte,time_rem
29-25,27-25,48M 0S
2,0,47M 41S
4,0,47M 13S
6,0,45M 33S
6,3,45M 11S
9,3,44M 58S
10,3,44M 11S
13,3,43M 20S
16,3,42M 48S
16,5,42M 11S
19,5,41M 40S
19,6,41M 6S
19,7,41M 6S
21,7,40M 43S
24,7,40M 15S
24,10,39M 48S
26,10,39M 33S
26,13,39M 25S
28,13,38M 41S
28,14,38M 5S
28,15,38M 5S
28,18,37M 35S
30,18,37M 18S
30,20,36M 54S
33,20,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,22,35M 47S
33,23,35M 47S
34,23,35M 36S
34,24,33M 46S
34,25,33M 46S
34,27,32M 57S
34,29,32M 15S
37,29,31M 53S
39,29,31M 11S
39,31,30M 54S
39,34,29M 53S
40,34,29M 40S
41,34,29M 40S
41,36,29M 28S
44,36,28M 37S
44,39,27M 50S
47,39,27M 32S
47,40,27M 5S
48,40,26M 45S
50,40,26M 15S
50,42,25M 52S
50,45,25M 13S
52,45,24M 43S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,48,23M 37S
53,48,23M 9S
54,48,23M 9S
54,49,22M 49S
57,49,22M 36S
57,51,22M 13S
60,51,21M 51S
60,54,21M 33S
63,54,21M 2S
65,54,20M 35S
65,56,20M 5S
65,58,19M 19S
65,61,18M 53S
68,61,18M 37S
68,63,18M 21S
68,65,17M 45S
68,66,17M 45S
68,69,17M 14S
70,69,16M 33S
70,72,16M 19S
73,72,15M 1S
Jump ball: C. Zeller vs. S. Hill (B. Wanamaker gains possession),NA,14M 41S
75,72,14M 14S
75,73,13M 38S
75,74,13M 38S
75,77,13M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,77,10M 56S
77,79,10M 41S
79,79,10M 24S
79,81,10M 6S
80,81,9M 50S
80,83,9M 26S
80,85,9M 1S
82,85,8M 43S
82,88,8M 24S
82,90,7M 52S
82,92,7M 16S
83,92,6M 51S
84,92,6M 51S
86,92,6M 15S
86,94,5M 56S
89,94,5M 23S
89,97,5M 4S
92,97,4M 46S
94,97,4M 16S
94,99,3M 47S
97,99,3M 22S
99,99,2M 41S
Jump ball: J. McDaniels vs. B. Goodwin (T. Rozier gains possession),NA,2M 16S
99,101,2M 14S
101,101,1M 34S
103,101,58S
104,101,6S
105,101,6S
End of 4th quarter,NA,0S
