New Orleans,Portland,time_rem
17-23,23-16,48M 0S
0,0,47M 43S
3,0,47M 28S
3,1,47M 6S
3,2,47M 6S
5,2,46M 54S
5,5,46M 36S
5,8,46M 11S
7,8,45M 52S
7,10,45M 17S
10,10,44M 56S
12,10,44M 16S
13,10,43M 51S
14,10,43M 51S
14,12,43M 36S
17,12,43M 5S
19,12,42M 29S
19,15,42M 15S
20,15,41M 47S
21,15,41M 47S
23,15,41M 13S
23,16,40M 49S
23,17,40M 49S
26,17,40M 33S
26,20,39M 52S
26,23,39M 36S
27,23,39M 20S
28,23,39M 20S
28,25,38M 59S
29,25,38M 48S
30,25,38M 48S
32,25,38M 18S
32,28,37M 23S
34,28,36M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,28,35M 18S
36,30,34M 58S
Jump ball: R. Covington vs. J. Hayes (N. Little gains possession),NA,34M 19S
36,32,34M 8S
38,32,33M 54S
40,32,33M 32S
43,32,33M 2S
43,35,32M 47S
45,35,30M 57S
46,35,30M 15S
48,35,30M 5S
51,35,29M 27S
51,36,29M 11S
51,37,29M 11S
52,37,28M 59S
54,37,28M 38S
54,40,28M 25S
54,42,28M 6S
56,42,27M 21S
56,44,26M 39S
57,44,26M 21S
58,44,26M 21S
58,45,26M 4S
58,46,26M 4S
61,46,25M 50S
61,48,24M 57S
61,49,24M 34S
61,50,24M 34S
64,50,24M 18S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,52,23M 25S
66,52,23M 12S
66,53,22M 59S
66,54,22M 59S
68,54,22M 24S
68,57,22M 5S
71,57,21M 46S
71,60,21M 4S
71,62,20M 41S
71,64,19M 46S
73,64,19M 20S
75,64,18M 53S
76,64,18M 53S
77,64,18M 29S
77,67,18M 18S
79,67,17M 21S
79,69,16M 32S
81,69,15M 55S
81,71,15M 37S
83,71,15M 25S
83,72,15M 8S
83,73,15M 8S
83,74,15M 8S
86,74,14M 55S
89,74,14M 24S
91,74,13M 45S
91,75,13M 34S
91,76,13M 34S
93,76,13M 15S
93,78,12M 57S
93,79,12M 50S
93,80,12M 50S
95,80,12M 28S
95,81,12M 14S
95,82,12M 14S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,82,11M 11S
97,85,10M 53S
99,85,10M 34S
100,85,10M 21S
101,85,10M 21S
101,88,10M 1S
101,89,9M 43S
101,90,9M 43S
104,90,9M 33S
104,92,8M 53S
104,93,8M 53S
107,93,8M 40S
107,96,8M 19S
109,96,8M 1S
112,96,7M 22S
112,98,7M 10S
115,98,6M 53S
115,100,6M 22S
117,100,5M 56S
117,103,5M 42S
117,106,5M 11S
117,108,4M 34S
117,109,4M 18S
117,110,4M 18S
117,113,3M 30S
117,116,2M 41S
120,116,2M 20S
120,118,1M 54S
122,118,1M 7S
122,120,52S
122,121,52S
124,121,41S
124,122,5S
124,123,5S
124,124,1S
124,125,1S
End of 4th quarter,NA,0S
