Cleveland,Milwaukee,time_rem
5-5,6-4,48M 0S
0,0,47M 47S
0,2,47M 7S
2,2,46M 44S
4,2,46M 19S
4,4,45M 45S
4,6,44M 23S
4,7,43M 53S
4,9,43M 41S
5,9,42M 55S
5,11,42M 20S
5,12,42M 20S
7,12,41M 26S
7,13,41M 13S
7,14,41M 13S
7,17,40M 45S
10,17,40M 33S
10,19,40M 16S
12,19,39M 45S
14,19,39M 22S
14,21,39M 4S
14,24,38M 23S
14,26,37M 21S
14,27,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
14,29,34M 57S
14,32,34M 23S
16,32,34M 4S
16,35,33M 51S
18,35,33M 19S
20,35,32M 45S
22,35,32M 23S
23,35,32M 23S
25,35,31M 44S
27,35,30M 36S
30,35,29M 39S
32,35,29M 10S
32,37,28M 25S
34,37,27M 40S
35,37,27M 40S
37,37,27M 12S
37,39,27M 3S
37,41,26M 43S
37,43,26M 6S
37,45,25M 37S
37,47,24M 53S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
37,48,23M 2S
37,49,23M 2S
37,51,22M 34S
39,51,21M 20S
39,53,21M 6S
41,53,20M 42S
41,55,20M 8S
44,55,19M 37S
46,55,19M 7S
48,55,18M 50S
48,58,18M 10S
50,58,17M 57S
52,58,17M 39S
52,60,17M 24S
52,63,17M 4S
54,63,16M 45S
54,65,16M 35S
55,65,16M 23S
56,65,16M 23S
56,68,16M 2S
56,70,15M 39S
58,70,15M 16S
58,71,15M 8S
58,73,14M 51S
58,75,13M 50S
61,75,13M 2S
61,78,12M 48S
62,78,12M 9S
63,78,12M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
65,78,11M 27S
67,78,10M 56S
70,78,10M 36S
70,81,8M 55S
73,81,8M 28S
73,83,7M 31S
75,83,6M 12S
75,84,6M 6S
75,87,5M 58S
76,87,5M 45S
77,87,5M 45S
77,89,5M 24S
79,89,5M 15S
79,92,4M 24S
81,92,4M 12S
83,92,3M 32S
83,95,3M 12S
85,95,2M 29S
85,96,1M 46S
85,97,1M 46S
85,98,1M 14S
85,99,1M 14S
88,99,1M 1S
89,99,36S
90,99,36S
90,100,22S
End of 4th quarter,NA,0S
