Portland,Denver,time_rem
1-0,0-1,48M 0S
0,0,47M 41S
0,2,47M 17S
2,2,46M 31S
2,4,46M 9S
4,4,45M 51S
4,6,45M 25S
4,8,44M 49S
Jump ball: A. Gordon vs. R. Covington (F. Campazzo gains possession),NA,44M 20S
4,10,44M 15S
7,10,43M 57S
7,13,43M 45S
9,13,43M 28S
11,13,42M 49S
11,15,42M 28S
11,17,42M 9S
13,17,41M 45S
14,17,40M 51S
15,17,40M 51S
15,19,40M 36S
16,19,40M 18S
17,19,40M 18S
17,22,39M 54S
17,24,39M 13S
20,24,38M 58S
20,26,38M 35S
23,26,38M 21S
26,26,37M 45S
29,26,37M 17S
29,28,36M 59S
31,28,36M 38S
32,28,36M 38S
32,30,36M 30S
35,30,36M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,30,35M 39S
37,33,35M 25S
37,35,34M 44S
39,35,33M 43S
39,38,33M 16S
42,38,32M 57S
42,40,32M 43S
42,42,32M 16S
44,42,31M 25S
47,42,30M 50S
47,44,30M 34S
47,47,30M 12S
47,49,29M 35S
49,49,29M 19S
49,50,29M 1S
49,51,29M 1S
51,51,28M 47S
51,53,28M 2S
51,55,27M 31S
51,57,26M 50S
54,57,26M 17S
54,58,25M 49S
56,58,25M 29S
56,61,24M 59S
57,61,24M 4S
58,61,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,63,23M 22S
60,63,23M 10S
60,66,22M 41S
60,69,21M 44S
62,69,21M 23S
62,71,21M 12S
64,71,20M 49S
64,73,20M 34S
67,73,19M 50S
69,73,19M 17S
70,73,19M 17S
73,73,18M 54S
73,75,18M 40S
75,75,18M 18S
76,75,18M 18S
77,75,17M 10S
78,75,17M 10S
78,78,16M 53S
81,78,16M 40S
81,80,16M 22S
84,80,16M 7S
84,82,15M 44S
86,82,15M 20S
86,84,14M 11S
88,84,13M 26S
88,86,13M 9S
89,86,12M 54S
90,86,12M 54S
91,86,12M 54S
93,86,12M 32S
96,86,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,88,11M 48S
99,88,11M 20S
99,90,10M 59S
102,90,10M 35S
102,92,10M 15S
102,94,9M 38S
102,96,8M 55S
102,98,8M 14S
104,98,8M 0S
107,98,7M 15S
107,101,6M 57S
107,103,5M 47S
109,103,5M 1S
110,103,5M 1S
113,103,4M 37S
115,103,3M 58S
116,103,3M 58S
118,103,3M 20S
118,106,2M 45S
118,107,1M 34S
121,107,1M 21S
121,109,1M 17S
122,109,33S
123,109,33S
End of 4th quarter,NA,0S
