Dallas,LA Clippers,time_rem
1-0,0-1,48M 0S
2,0,47M 46S
3,0,47M 24S
4,0,46M 42S
4,2,46M 25S
7,2,45M 46S
9,2,45M 4S
9,4,44M 50S
11,4,44M 5S
12,4,44M 5S
12,5,43M 44S
12,6,43M 44S
14,6,43M 36S
17,6,42M 39S
17,8,42M 11S
18,8,41M 51S
19,8,41M 51S
19,10,41M 35S
22,10,41M 18S
22,11,41M 11S
22,12,41M 11S
24,12,40M 50S
24,15,40M 43S
24,17,40M 8S
27,17,39M 53S
27,18,39M 33S
27,19,39M 33S
27,22,39M 7S
29,22,38M 31S
29,24,38M 8S
31,24,37M 52S
31,26,37M 29S
31,28,36M 59S
32,28,36M 35S
33,28,36M 35S
33,29,36M 25S
33,30,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,32,34M 59S
36,32,34M 37S
36,34,33M 54S
36,35,33M 21S
37,35,32M 44S
38,35,32M 44S
38,37,31M 54S
40,37,31M 38S
40,40,31M 7S
40,43,30M 32S
43,43,30M 7S
43,45,29M 47S
44,45,29M 34S
47,45,29M 21S
47,47,29M 0S
49,47,28M 47S
49,48,28M 34S
49,49,28M 34S
49,51,27M 54S
49,53,27M 32S
51,53,27M 13S
54,53,25M 40S
57,53,25M 3S
60,53,24M 32S
60,54,24M 10S
60,55,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,57,23M 42S
60,60,22M 36S
62,60,22M 14S
63,60,21M 52S
65,60,21M 18S
68,60,20M 54S
68,63,20M 28S
68,65,19M 47S
71,65,19M 30S
71,67,17M 55S
74,67,17M 29S
74,69,17M 8S
75,69,16M 46S
75,71,16M 18S
75,73,15M 59S
77,73,15M 42S
79,73,15M 4S
79,76,14M 50S
82,76,13M 28S
82,78,12M 48S
84,78,12M 36S
84,79,12M 15S
84,80,12M 15S
86,80,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,82,11M 8S
86,83,9M 58S
87,83,9M 48S
87,86,9M 23S
87,89,9M 0S
89,89,8M 29S
90,89,8M 29S
90,91,8M 10S
92,91,7M 59S
92,94,7M 43S
95,94,6M 55S
95,97,6M 32S
95,98,6M 8S
97,98,5M 21S
100,98,4M 17S
100,100,3M 12S
103,100,2M 50S
104,100,1M 41S
105,100,1M 41S
107,100,1M 24S
107,102,1M 15S
109,102,59S
109,103,48S
110,103,37S
111,103,37S
112,103,18S
113,103,18S
End of 4th quarter,NA,0S
