Denver,Dallas,time_rem
10-7,8-9,48M 0S
0,0,47M 38S
3,0,47M 22S
3,3,47M 5S
3,5,45M 50S
3,6,45M 50S
5,6,45M 33S
8,6,45M 0S
8,7,44M 30S
8,8,44M 30S
10,8,44M 19S
12,8,43M 57S
14,8,43M 37S
17,8,43M 12S
17,10,43M 0S
17,11,42M 20S
17,12,42M 20S
17,13,42M 20S
19,13,42M 0S
19,14,41M 43S
19,15,41M 43S
19,17,41M 22S
21,17,41M 7S
21,18,40M 51S
21,19,40M 51S
24,19,40M 38S
24,21,40M 24S
26,21,40M 5S
28,21,39M 32S
28,23,39M 22S
28,25,38M 57S
30,25,38M 43S
32,25,38M 20S
32,27,38M 0S
35,27,37M 35S
35,29,37M 20S
36,29,37M 4S
37,29,37M 4S
38,29,36M 52S
38,31,36M 36S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
41,31,35M 47S
41,33,34M 50S
44,33,34M 28S
44,36,34M 9S
44,38,33M 44S
45,38,32M 29S
46,38,32M 29S
46,40,32M 15S
49,40,32M 0S
51,40,31M 37S
52,40,31M 37S
52,42,31M 20S
53,42,30M 43S
54,42,30M 43S
54,44,30M 25S
57,44,30M 10S
57,46,29M 22S
59,46,28M 24S
59,47,27M 34S
59,48,27M 34S
60,48,27M 17S
61,48,27M 17S
61,50,27M 4S
63,50,26M 53S
63,51,26M 28S
63,52,26M 28S
63,55,25M 57S
64,55,25M 43S
65,55,25M 43S
67,55,24M 52S
67,58,24M 34S
70,58,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,60,23M 27S
72,60,22M 39S
72,62,22M 20S
74,62,22M 7S
74,65,21M 55S
74,67,21M 29S
76,67,21M 8S
76,68,20M 19S
76,69,20M 19S
76,71,19M 10S
78,71,18M 31S
80,71,17M 58S
80,73,17M 7S
80,74,16M 51S
80,75,16M 51S
80,78,16M 45S
80,80,16M 28S
80,82,16M 8S
82,82,15M 54S
82,85,15M 39S
83,85,15M 27S
83,88,15M 7S
83,90,14M 27S
85,90,14M 11S
86,90,13M 35S
87,90,13M 35S
87,92,13M 25S
90,92,13M 2S
90,94,12M 48S
91,94,12M 28S
92,94,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,94,11M 15S
97,94,10M 44S
Jump ball: J. Green vs. T. Burke (M. Porter gains possession),NA,10M 27S
98,94,9M 12S
99,94,9M 12S
99,97,9M 3S
102,97,7M 27S
Jump ball: W. Cauley,Stein vs. M. Morris (J. Johnson gains possession),6M 33S
102,100,6M 30S
104,100,6M 15S
104,102,5M 25S
104,104,4M 58S
104,106,3M 53S
107,106,3M 33S
109,106,2M 49S
111,106,2M 21S
111,107,1M 28S
114,107,41S
114,108,35S
115,108,28S
116,108,28S
116,110,20S
117,110,12S
117,113,5S
End of 4th quarter,NA,0S
