Milwaukee,Brooklyn,time_rem
2-3,3-2,48M 0S
0,0,47M 41S
0,2,47M 29S
2,2,47M 10S
4,2,46M 34S
6,2,45M 40S
9,2,45M 16S
10,2,44M 48S
11,2,44M 48S
12,2,44M 48S
12,3,42M 42S
12,4,42M 42S
14,4,42M 7S
14,5,41M 56S
14,6,41M 56S
17,6,41M 44S
19,6,41M 18S
19,9,41M 0S
22,9,40M 11S
22,10,39M 27S
24,10,38M 43S
24,12,37M 54S
24,15,37M 9S
26,15,36M 51S
28,15,36M 33S
29,15,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,15,35M 45S
32,18,35M 26S
32,21,34M 58S
34,21,34M 13S
34,22,33M 50S
34,23,33M 50S
37,23,33M 14S
37,26,32M 55S
38,26,32M 36S
39,26,32M 36S
39,29,32M 16S
41,29,31M 46S
42,29,31M 46S
42,30,31M 37S
42,31,31M 37S
42,33,31M 14S
45,33,30M 53S
47,33,30M 27S
49,33,30M 0S
49,35,29M 1S
49,37,28M 17S
51,37,27M 51S
51,39,27M 33S
54,39,27M 20S
56,39,26M 43S
56,41,26M 23S
56,43,26M 1S
59,43,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,46,23M 28S
62,46,23M 15S
62,49,23M 2S
62,51,22M 13S
64,51,21M 59S
66,51,21M 35S
66,54,21M 20S
68,54,21M 3S
71,54,19M 46S
71,56,19M 21S
71,57,19M 21S
74,57,19M 9S
74,60,18M 51S
76,60,18M 38S
76,62,18M 18S
76,65,17M 50S
76,68,16M 55S
77,68,16M 29S
77,70,16M 9S
79,70,15M 45S
79,72,15M 25S
79,74,14M 53S
82,74,14M 29S
82,75,14M 15S
82,76,14M 15S
83,76,13M 18S
84,76,13M 18S
84,78,13M 7S
86,78,12M 41S
87,78,12M 41S
87,80,12M 31S
87,81,12M 31S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,81,11M 35S
89,83,11M 17S
89,85,10M 53S
91,85,10M 35S
91,87,10M 16S
91,89,9M 42S
91,90,9M 13S
91,91,9M 13S
93,91,8M 55S
93,94,8M 36S
96,94,8M 13S
96,97,7M 54S
96,99,6M 14S
98,99,5M 20S
98,101,5M 5S
100,101,4M 3S
100,104,3M 41S
102,104,3M 8S
104,104,2M 24S
104,105,1M 27S
104,106,1M 27S
105,106,1M 14S
105,109,50S
107,109,44S
107,110,15S
107,111,15S
108,111,12S
108,112,11S
108,113,6S
108,114,6S
End of 4th quarter,NA,0S
