Minnesota,Miami,time_rem
20-47,36-31,48M 0S
0,0,47M 41S
2,0,47M 36S
3,0,47M 36S
4,0,47M 5S
5,0,47M 5S
5,2,46M 53S
5,3,45M 29S
5,4,45M 29S
5,5,45M 29S
8,5,45M 18S
8,7,45M 3S
11,7,44M 39S
11,9,44M 10S
14,9,43M 56S
15,9,43M 56S
17,9,43M 19S
17,11,42M 48S
19,11,42M 19S
19,12,42M 0S
19,13,42M 0S
22,13,41M 43S
22,16,41M 0S
25,16,40M 38S
25,18,40M 5S
27,18,39M 43S
28,18,39M 25S
29,18,39M 25S
29,20,39M 4S
29,22,38M 4S
29,24,37M 33S
31,24,37M 0S
32,24,36M 45S
32,26,36M 31S
32,28,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,31,35M 17S
32,33,34M 34S
32,36,33M 30S
35,36,33M 12S
35,38,32M 55S
35,41,32M 36S
37,41,32M 15S
37,43,31M 50S
39,43,31M 40S
39,46,30M 47S
41,46,30M 24S
41,49,29M 41S
43,49,29M 22S
44,49,29M 2S
44,50,28M 49S
46,50,27M 52S
48,50,27M 18S
49,50,27M 18S
49,52,26M 24S
49,54,25M 58S
49,56,25M 6S
51,56,24M 31S
51,59,24M 8S
53,59,24M 2S
54,59,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,62,23M 28S
54,65,22M 48S
57,65,22M 32S
59,65,21M 3S
59,67,20M 37S
60,67,20M 14S
60,69,19M 52S
63,69,19M 38S
63,71,19M 27S
65,71,19M 11S
66,71,18M 51S
67,71,18M 51S
67,72,18M 38S
67,73,18M 38S
69,73,18M 22S
69,75,18M 7S
69,76,17M 29S
69,77,17M 27S
69,78,17M 27S
69,80,17M 14S
71,80,17M 7S
71,82,16M 54S
73,82,16M 39S
73,83,16M 35S
73,85,16M 23S
76,85,15M 32S
76,86,15M 14S
76,87,15M 14S
76,89,14M 46S
78,89,12M 23S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,91,11M 37S
78,92,11M 37S
80,92,11M 21S
82,92,10M 52S
83,92,10M 52S
83,94,10M 42S
85,94,10M 23S
85,97,10M 3S
85,99,9M 40S
87,99,9M 28S
89,99,8M 6S
91,99,7M 32S
92,99,6M 59S
92,101,6M 39S
93,101,6M 24S
94,101,6M 24S
Jump ball: B. Adebayo vs. N. Reid (G. Dragić gains possession),NA,5M 50S
94,103,4M 54S
96,103,3M 57S
96,105,3M 44S
98,105,3M 31S
98,106,3M 6S
99,106,2M 52S
99,108,2M 34S
100,108,2M 14S
101,108,2M 14S
101,111,1M 55S
101,114,1M 28S
103,114,1M 23S
103,117,56S
106,117,45S
108,117,35S
108,118,29S
108,119,29S
110,119,24S
110,120,20S
110,121,20S
112,121,14S
End of 4th quarter,NA,0S
