Indiana,Houston,time_rem
26-28,14-41,48M 0S
2,0,47M 41S
5,0,47M 11S
5,2,46M 15S
8,2,45M 57S
8,4,45M 34S
8,6,44M 56S
11,6,44M 43S
11,9,44M 32S
13,9,44M 23S
15,9,43M 40S
15,11,42M 43S
18,11,42M 36S
20,11,42M 13S
20,13,41M 55S
22,13,41M 42S
22,15,41M 4S
24,15,40M 55S
24,17,40M 45S
24,19,40M 23S
25,19,40M 18S
26,19,39M 57S
28,19,39M 41S
28,20,39M 16S
28,22,38M 56S
30,22,38M 38S
30,24,38M 18S
32,24,36M 31S
33,24,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,24,35M 32S
37,24,35M 17S
40,24,34M 55S
42,24,34M 25S
42,26,33M 54S
45,26,33M 27S
47,26,33M 4S
47,29,32M 45S
49,29,32M 32S
50,29,32M 5S
51,29,32M 5S
51,32,31M 49S
54,32,31M 35S
54,34,31M 19S
54,35,31M 19S
56,35,31M 3S
56,37,30M 56S
56,38,30M 56S
58,38,30M 35S
58,40,30M 27S
58,42,30M 6S
61,42,29M 21S
61,44,28M 53S
63,44,28M 37S
65,44,28M 16S
65,46,28M 0S
67,46,27M 11S
67,47,27M 3S
69,47,26M 35S
69,48,26M 24S
69,49,26M 24S
69,50,25M 20S
72,50,24M 48S
72,53,24M 36S
75,53,24M 32S
75,55,24M 17S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
75,57,23M 48S
75,60,23M 21S
77,60,22M 59S
80,60,22M 21S
80,62,21M 55S
82,62,21M 34S
82,65,21M 25S
85,65,20M 55S
85,66,20M 42S
85,67,20M 42S
85,69,20M 24S
85,71,20M 8S
85,73,19M 47S
87,73,19M 32S
87,75,18M 29S
89,75,18M 12S
89,77,17M 51S
90,77,17M 29S
90,79,17M 7S
93,79,16M 45S
93,81,16M 29S
93,82,16M 29S
93,83,16M 10S
93,84,16M 10S
95,84,15M 58S
96,84,15M 58S
96,86,15M 33S
98,86,15M 22S
98,89,15M 3S
100,89,14M 52S
102,89,13M 39S
102,92,13M 21S
104,92,12M 44S
106,92,12M 4S
106,94,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
109,94,11M 49S
109,95,11M 41S
109,96,11M 41S
109,98,11M 25S
109,100,10M 37S
110,100,10M 8S
111,100,10M 8S
111,103,9M 31S
113,103,9M 2S
114,103,9M 2S
116,103,8M 7S
116,105,7M 20S
116,107,6M 58S
116,108,6M 35S
116,109,6M 35S
118,109,6M 12S
118,112,5M 58S
119,112,5M 40S
120,112,5M 40S
120,113,4M 50S
122,113,4M 23S
123,113,4M 23S
123,115,4M 13S
123,116,4M 13S
126,116,3M 1S
126,118,2M 45S
128,118,2M 21S
129,118,1M 3S
130,118,1M 3S
130,120,53S
131,120,47S
132,120,47S
132,122,40S
132,124,14S
End of 4th quarter,NA,0S
