Cleveland,Indiana,time_rem
3-2,4-1,48M 0S
2,0,47M 40S
4,0,46M 44S
4,2,46M 35S
6,2,46M 18S
6,4,45M 59S
6,7,45M 20S
6,9,44M 54S
9,9,43M 47S
9,11,43M 12S
11,11,42M 54S
11,14,42M 46S
12,14,41M 51S
12,15,41M 36S
12,16,41M 36S
15,16,41M 10S
15,19,40M 53S
15,21,39M 45S
18,21,39M 32S
18,24,38M 21S
19,24,38M 0S
19,27,37M 44S
19,30,36M 53S
21,30,36M 43S
21,32,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,34,34M 56S
23,34,34M 21S
23,36,33M 36S
26,36,33M 23S
27,36,32M 53S
28,36,32M 53S
28,39,32M 44S
30,39,32M 24S
31,39,31M 41S
32,39,31M 41S
35,39,31M 35S
35,42,30M 45S
37,42,30M 20S
37,45,30M 8S
40,45,29M 45S
40,47,28M 56S
40,48,28M 56S
40,51,28M 6S
42,51,26M 32S
42,52,26M 16S
42,53,26M 16S
44,53,25M 51S
44,55,25M 19S
46,55,25M 8S
47,55,24M 48S
48,55,24M 48S
51,55,24M 10S
51,57,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,59,22M 43S
52,59,22M 10S
52,62,21M 40S
54,62,21M 23S
54,64,21M 9S
54,67,20M 47S
56,67,20M 7S
56,70,19M 46S
58,70,19M 30S
60,70,19M 11S
62,70,18M 26S
62,71,18M 5S
62,72,18M 5S
62,74,17M 3S
62,76,16M 12S
62,78,15M 48S
63,78,15M 30S
63,81,15M 11S
Jump ball: T. Maker vs. D. Sabonis (C. Sexton gains possession),NA,14M 52S
65,81,14M 34S
Jump ball: D. Sabonis vs. T. Maker (A. Holiday gains possession),NA,14M 17S
65,82,13M 59S
65,83,13M 59S
65,85,13M 20S
65,86,13M 20S
68,86,12M 52S
68,88,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
68,90,11M 30S
71,90,11M 18S
73,90,10M 47S
75,90,9M 56S
78,90,9M 29S
78,92,9M 3S
78,94,8M 36S
81,94,7M 59S
81,95,7M 46S
81,96,7M 46S
84,96,7M 36S
84,98,7M 17S
84,99,7M 16S
86,99,7M 4S
88,99,6M 25S
88,100,5M 39S
88,101,5M 39S
90,101,5M 29S
90,104,5M 11S
92,104,4M 59S
92,105,4M 47S
92,106,4M 33S
92,107,4M 33S
92,109,4M 12S
92,111,2M 59S
94,111,2M 46S
94,113,2M 24S
95,113,1M 29S
96,113,1M 29S
96,116,51S
97,116,36S
97,118,20S
97,119,20S
99,119,2S
End of 4th quarter,NA,0S
