Oklahoma City,Orlando,time_rem
2-3,4-2,48M 0S
2,0,47M 45S
2,2,47M 2S
5,2,46M 51S
8,2,45M 51S
8,3,45M 35S
10,3,45M 16S
10,5,44M 42S
13,5,44M 22S
13,6,43M 57S
13,7,43M 57S
14,7,43M 42S
15,7,43M 42S
15,10,42M 49S
17,10,42M 19S
17,12,42M 5S
17,14,41M 12S
19,14,40M 49S
19,16,40M 35S
19,19,40M 12S
19,22,39M 44S
20,22,39M 30S
21,22,39M 30S
22,22,39M 30S
22,25,39M 9S
23,25,38M 36S
24,25,38M 36S
24,26,38M 26S
24,27,38M 26S
24,29,38M 6S
25,29,38M 0S
26,29,38M 0S
26,31,37M 46S
26,33,37M 31S
28,33,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,33,35M 16S
30,35,35M 7S
32,35,34M 19S
34,35,33M 34S
35,35,33M 34S
35,37,32M 19S
37,37,31M 39S
38,37,31M 13S
38,39,30M 26S
38,41,29M 39S
39,41,29M 29S
40,41,29M 29S
43,41,28M 56S
43,43,28M 38S
43,45,27M 39S
45,45,26M 33S
48,45,25M 59S
48,48,25M 39S
50,48,24M 40S
50,51,24M 31S
52,51,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,51,23M 27S
55,53,23M 11S
57,53,22M 52S
57,55,22M 38S
59,55,22M 2S
59,58,21M 41S
61,58,21M 24S
63,58,20M 54S
63,60,20M 31S
63,63,19M 48S
65,63,19M 10S
66,63,19M 10S
66,66,18M 27S
66,68,17M 49S
66,70,17M 14S
69,70,17M 0S
69,72,16M 44S
71,72,15M 50S
71,74,15M 33S
74,74,15M 24S
74,77,15M 6S
76,77,14M 30S
77,77,14M 30S
77,79,14M 16S
77,80,14M 16S
80,80,13M 33S
82,80,13M 9S
84,80,12M 19S
84,81,12M 3S
84,82,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,84,11M 14S
87,84,11M 5S
87,86,10M 46S
90,86,10M 31S
90,88,9M 37S
90,89,9M 37S
92,89,8M 55S
92,91,8M 38S
94,91,8M 22S
97,91,6M 46S
99,91,4M 37S
99,93,4M 20S
99,95,3M 0S
101,95,2M 35S
102,95,2M 35S
102,97,1M 47S
105,97,50S
106,97,32S
107,97,19S
108,97,19S
108,99,10S
End of 4th quarter,NA,0S
