Miami,Golden State,time_rem
11-17,16-13,48M 0S
2,0,47M 44S
4,0,47M 17S
4,3,47M 2S
6,3,45M 56S
6,6,45M 44S
9,6,44M 57S
9,7,44M 33S
9,8,44M 33S
11,8,44M 21S
13,8,43M 53S
13,10,43M 41S
14,10,42M 57S
14,12,42M 43S
14,14,41M 20S
16,14,40M 49S
17,14,40M 49S
19,14,40M 15S
19,17,39M 55S
22,17,39M 31S
25,17,39M 3S
27,17,38M 38S
28,17,37M 58S
29,17,37M 58S
30,17,37M 58S
30,19,37M 46S
33,19,37M 2S
33,22,36M 52S
36,22,36M 39S
36,24,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,26,35M 37S
38,26,34M 59S
40,26,34M 3S
40,27,33M 24S
40,28,33M 24S
40,29,32M 58S
42,29,32M 45S
42,31,32M 33S
42,32,32M 33S
42,34,31M 34S
44,34,31M 15S
44,36,30M 53S
47,36,30M 37S
50,36,29M 38S
52,36,28M 14S
52,39,27M 57S
54,39,27M 38S
56,39,26M 16S
58,39,25M 37S
58,42,25M 27S
58,44,24M 56S
61,44,24M 37S
61,45,24M 31S
61,46,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,48,21M 59S
61,49,21M 34S
61,50,21M 34S
61,53,21M 17S
64,53,20M 59S
64,56,20M 26S
64,59,20M 6S
66,59,19M 49S
66,62,19M 32S
68,62,19M 16S
69,62,19M 16S
71,62,18M 36S
71,64,18M 23S
73,64,17M 4S
73,66,16M 50S
76,66,16M 2S
78,66,15M 33S
79,66,15M 33S
79,67,14M 44S
79,68,14M 44S
79,71,14M 23S
81,71,13M 48S
81,74,13M 35S
82,74,13M 9S
83,74,13M 9S
84,74,13M 9S
86,74,12M 52S
86,76,12M 44S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,76,11M 40S
89,78,11M 15S
89,80,10M 56S
91,80,10M 34S
91,81,10M 20S
93,81,9M 56S
94,81,9M 56S
96,81,9M 24S
96,84,8M 40S
96,85,8M 1S
99,85,6M 40S
99,88,6M 26S
99,90,5M 50S
99,92,5M 16S
Jump ball: A. Wiggins vs. J. Butler (K. Oubre gains possession),NA,4M 54S
99,94,4M 2S
99,96,3M 37S
101,96,3M 24S
101,98,3M 5S
103,98,2M 44S
103,101,2M 26S
105,101,1M 36S
105,103,1M 25S
105,105,52S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: B. Adebayo vs. A. Wiggins (E. Paschall gains possession),NA,5M 0S
Jump ball: B. Adebayo vs. A. Wiggins (T. Herro gains possession),NA,4M 19S
107,105,2M 28S
107,107,2M 9S
107,109,1M 38S
109,109,1M 26S
109,112,1M 15S
109,115,40S
112,115,33S
112,118,17S
112,119,9S
112,120,9S
End of 1st overtime,NA,0S
