San Antonio,Denver,time_rem
24-25,33-18,48M 0S
0,2,47M 43S
3,2,47M 20S
3,4,47M 5S
5,4,46M 41S
5,6,46M 30S
7,6,46M 12S
9,6,45M 41S
11,6,45M 20S
11,9,45M 8S
11,11,44M 28S
13,11,43M 26S
13,13,42M 31S
15,13,42M 6S
17,13,41M 40S
17,15,41M 32S
17,16,41M 32S
18,16,41M 21S
18,18,40M 54S
20,18,40M 38S
21,18,40M 38S
24,18,39M 55S
24,20,39M 31S
24,22,39M 4S
24,24,38M 36S
24,26,38M 9S
26,26,37M 52S
28,26,37M 28S
30,26,37M 0S
30,28,36M 41S
32,28,36M 24S
32,30,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,30,35M 50S
37,30,35M 25S
37,32,35M 9S
37,34,34M 47S
37,36,34M 6S
38,36,33M 46S
38,38,33M 31S
38,40,31M 8S
39,40,30M 24S
39,42,30M 7S
40,42,29M 49S
41,42,29M 49S
42,42,29M 32S
44,42,28M 53S
44,44,28M 0S
46,44,27M 38S
48,44,26M 37S
48,46,26M 19S
48,48,26M 0S
50,48,25M 31S
50,49,25M 8S
50,50,25M 8S
50,51,25M 8S
50,54,24M 52S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,54,23M 40S
54,54,23M 2S
56,54,21M 52S
58,54,21M 29S
60,54,21M 2S
62,54,20M 22S
62,56,19M 54S
65,56,19M 30S
65,58,19M 6S
68,58,18M 51S
68,60,18M 36S
68,62,18M 9S
68,65,17M 42S
68,67,17M 5S
68,68,17M 5S
68,69,16M 48S
70,69,16M 28S
70,70,16M 10S
70,71,16M 10S
70,73,15M 6S
70,74,14M 37S
70,75,13M 46S
70,76,13M 46S
72,76,12M 52S
72,79,12M 39S
73,79,12M 31S
74,79,12M 31S
74,81,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,81,11M 34S
76,82,11M 20S
76,85,11M 12S
76,88,10M 38S
76,89,10M 11S
76,90,10M 11S
77,90,9M 55S
77,92,9M 5S
79,92,8M 46S
79,94,8M 32S
79,95,8M 3S
79,96,8M 3S
81,96,7M 50S
81,97,7M 14S
81,100,5M 41S
82,100,5M 25S
83,100,5M 25S
83,103,3M 53S
85,103,3M 35S
86,103,2M 59S
86,104,2M 28S
88,104,2M 13S
91,104,1M 17S
91,106,1M 3S
93,106,50S
95,106,30S
96,106,3S
End of 4th quarter,NA,0S
