LA Lakers,Toronto,time_rem
32-19,20-31,48M 0S
0,0,47M 44S
3,0,47M 38S
3,2,47M 1S
3,5,46M 31S
5,5,46M 20S
8,5,45M 17S
8,7,45M 1S
10,7,44M 51S
11,7,44M 35S
12,7,44M 35S
12,9,44M 14S
15,9,43M 58S
15,12,43M 48S
17,12,43M 30S
20,12,42M 32S
20,14,42M 21S
20,15,42M 21S
22,15,42M 6S
24,15,41M 47S
27,15,41M 24S
28,15,40M 51S
31,15,40M 28S
31,17,39M 55S
34,17,39M 33S
34,20,39M 7S
34,21,38M 24S
34,23,37M 58S
37,23,37M 40S
37,24,37M 22S
37,26,36M 42S
40,26,36M 25S
40,28,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
42,28,35M 0S
45,28,34M 25S
45,30,34M 11S
48,30,33M 43S
50,30,33M 4S
52,30,32M 48S
Jump ball: T. Horton,Tucker vs. D. Bembry (W. Matthews gains possession),32M 22S
55,30,31M 44S
56,30,30M 55S
57,30,30M 55S
59,30,29M 56S
59,31,29M 45S
59,32,29M 45S
62,32,29M 14S
64,32,28M 26S
66,32,28M 6S
66,34,27M 13S
68,34,26M 28S
Jump ball: Y. Watanabe vs. A. Caruso (P. Siakam gains possession),NA,26M 6S
68,36,26M 0S
68,38,25M 27S
68,39,25M 27S
68,40,24M 33S
68,41,24M 1S
68,42,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,42,23M 18S
70,44,23M 5S
72,44,22M 20S
72,46,21M 37S
74,46,21M 12S
74,48,20M 54S
74,50,19M 47S
74,52,19M 10S
75,52,19M 10S
75,53,19M 10S
75,55,18M 34S
78,55,18M 12S
78,57,17M 15S
78,59,16M 54S
81,59,16M 40S
81,61,16M 15S
81,62,15M 46S
81,64,15M 2S
82,64,14M 49S
83,64,14M 49S
83,66,13M 53S
85,66,13M 42S
87,66,13M 12S
88,66,12M 38S
88,67,12M 28S
88,68,12M 28S
90,68,12M 9S
90,70,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,70,10M 11S
93,70,9M 58S
93,72,9M 48S
96,72,9M 2S
96,74,8M 22S
97,74,8M 11S
97,75,7M 28S
100,75,7M 10S
100,76,7M 1S
100,77,7M 1S
100,78,6M 45S
102,78,6M 33S
102,81,6M 19S
102,83,5M 47S
102,85,5M 4S
103,85,4M 26S
104,85,4M 26S
104,87,4M 9S
107,87,3M 56S
107,88,3M 45S
107,89,3M 45S
107,91,2M 38S
107,92,2M 8S
107,93,2M 8S
109,93,1M 40S
109,96,1M 33S
110,96,1M 13S
110,97,1M 8S
110,98,1M 8S
110,100,32S
110,101,12S
End of 4th quarter,NA,0S
