San Antonio,New Orleans,time_rem
30-29,26-34,48M 0S
0,0,47M 44S
0,2,47M 32S
0,4,47M 6S
2,4,46M 46S
2,6,46M 28S
4,6,46M 8S
7,6,45M 39S
10,6,44M 53S
12,6,44M 1S
14,6,43M 41S
14,9,43M 26S
17,9,42M 58S
17,11,42M 46S
19,11,42M 32S
19,13,42M 18S
19,14,42M 18S
21,14,42M 5S
23,14,41M 43S
23,16,41M 19S
23,18,40M 44S
25,18,40M 8S
25,20,39M 36S
25,21,39M 18S
25,22,39M 18S
27,22,39M 1S
27,24,38M 24S
28,24,36M 48S
29,24,36M 48S
31,24,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,26,35M 25S
34,26,34M 46S
34,29,33M 45S
36,29,33M 29S
36,31,32M 42S
36,34,32M 13S
36,35,31M 45S
39,35,31M 24S
39,36,31M 13S
42,36,29M 44S
42,38,29M 29S
44,38,29M 10S
44,40,28M 39S
44,41,28M 39S
47,41,28M 28S
49,41,27M 37S
50,41,27M 37S
50,42,27M 26S
52,42,27M 10S
52,45,26M 56S
52,47,26M 34S
54,47,25M 36S
55,47,25M 36S
55,49,25M 27S
55,50,25M 27S
56,50,25M 16S
57,50,25M 16S
57,52,24M 58S
59,52,24M 47S
60,52,24M 36S
61,52,24M 36S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,54,23M 12S
61,55,23M 12S
62,55,23M 0S
63,55,23M 0S
63,57,22M 46S
64,57,22M 29S
66,57,22M 17S
68,57,21M 48S
68,59,21M 20S
69,59,20M 37S
70,59,20M 37S
70,62,19M 42S
70,63,19M 13S
72,63,18M 54S
74,63,18M 22S
74,66,18M 4S
75,66,17M 16S
75,68,16M 54S
75,70,16M 21S
76,70,16M 4S
77,70,16M 4S
77,72,15M 49S
78,72,15M 20S
78,74,14M 59S
79,74,14M 38S
80,74,14M 38S
80,77,14M 21S
81,77,14M 6S
82,77,14M 6S
82,78,13M 23S
82,80,13M 13S
82,81,12M 47S
82,82,12M 47S
85,82,12M 29S
85,83,12M 12S
85,84,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,84,11M 45S
87,86,11M 26S
88,86,10M 20S
88,88,10M 7S
90,88,8M 54S
92,88,7M 44S
94,88,7M 3S
94,90,6M 46S
94,92,6M 13S
94,94,5M 42S
94,96,4M 54S
94,99,4M 32S
96,99,4M 9S
96,101,3M 50S
99,101,3M 33S
101,101,2M 55S
102,101,2M 55S
102,102,2M 44S
Jump ball: S. Adams vs. J. Poeltl (Z. Williamson gains possession),NA,2M 40S
102,103,2M 23S
103,103,2M 4S
104,103,2M 4S
106,103,1M 16S
106,105,54S
108,105,34S
109,105,19S
110,105,19S
110,108,0S
End of 4th quarter,NA,0S
