Toronto,Minnesota,time_rem
15-15,7-23,48M 0S
2,0,47M 39S
5,0,47M 10S
6,0,46M 39S
7,0,46M 39S
7,1,46M 5S
7,2,46M 5S
7,5,45M 45S
9,5,45M 31S
9,6,45M 14S
9,7,45M 14S
11,7,44M 41S
11,9,44M 32S
13,9,44M 10S
14,9,43M 47S
15,9,43M 47S
17,9,43M 15S
17,11,42M 43S
20,11,42M 1S
23,11,40M 16S
23,13,39M 28S
25,13,39M 10S
26,13,38M 45S
27,13,38M 45S
27,15,36M 21S
28,15,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,17,33M 58S
29,17,32M 55S
29,19,32M 39S
31,19,32M 23S
32,19,32M 23S
35,19,31M 53S
38,19,31M 25S
38,21,30M 25S
38,23,28M 34S
40,23,28M 15S
40,26,27M 24S
40,28,27M 4S
42,28,25M 38S
42,31,25M 26S
42,33,24M 49S
45,33,24M 31S
45,35,24M 17S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,35,23M 38S
48,37,23M 21S
50,37,23M 6S
50,39,22M 18S
52,39,21M 48S
52,41,21M 32S
54,41,21M 11S
57,41,20M 23S
57,44,19M 41S
57,47,18M 53S
57,49,18M 20S
57,51,17M 17S
57,54,16M 47S
57,56,15M 52S
57,57,14M 14S
58,57,14M 7S
58,58,13M 51S
58,59,13M 51S
58,61,12M 43S
58,63,12M 10S
58,64,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
58,66,11M 0S
59,66,10M 45S
60,66,10M 45S
60,68,10M 27S
63,68,10M 15S
63,71,9M 28S
66,71,9M 8S
66,73,8M 46S
67,73,8M 3S
68,73,8M 3S
71,73,7M 27S
71,76,7M 4S
73,76,6M 46S
73,79,5M 51S
75,79,4M 53S
75,81,3M 40S
76,81,3M 29S
77,81,3M 29S
79,81,2M 24S
81,81,1M 22S
84,81,30S
85,81,18S
86,81,18S
End of 4th quarter,NA,0S
