Boston,Miami,time_rem
6-3,3-4,48M 0S
0,0,47M 44S
3,0,47M 23S
3,3,46M 41S
5,3,46M 20S
7,3,45M 40S
7,5,45M 24S
7,6,44M 53S
10,6,44M 34S
10,7,44M 26S
13,7,44M 2S
16,7,43M 41S
16,9,43M 23S
18,9,43M 7S
21,9,42M 15S
21,10,42M 4S
21,11,42M 4S
23,11,41M 51S
23,12,41M 35S
23,13,41M 35S
23,14,41M 35S
24,14,41M 22S
24,16,41M 8S
26,16,40M 51S
26,19,40M 22S
28,19,39M 55S
Jump ball: D. Theis vs. P. Achiuwa (S. Ojeleye gains possession),NA,39M 42S
30,19,39M 33S
30,21,38M 45S
30,22,37M 36S
30,23,37M 36S
30,26,37M 12S
32,26,36M 53S
34,26,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,26,35M 40S
36,28,35M 23S
38,28,34M 42S
41,28,33M 12S
43,28,32M 42S
43,30,30M 14S
45,30,29M 45S
46,30,28M 57S
47,30,28M 57S
47,31,28M 49S
47,32,28M 49S
48,32,28M 39S
49,32,28M 39S
49,34,27M 57S
49,35,27M 32S
49,36,27M 32S
49,39,27M 8S
50,39,26M 6S
51,39,26M 6S
51,41,25M 14S
51,43,24M 51S
53,43,24M 34S
53,44,24M 0S
53,45,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,45,23M 41S
55,47,22M 58S
55,50,22M 19S
55,53,21M 44S
57,53,20M 53S
57,56,20M 44S
59,56,20M 31S
59,57,20M 19S
59,58,20M 19S
59,60,19M 51S
59,62,19M 23S
61,62,18M 35S
63,62,18M 5S
63,64,17M 41S
63,67,17M 10S
66,67,16M 47S
66,69,16M 35S
66,71,16M 8S
68,71,15M 44S
71,71,15M 20S
71,73,14M 36S
73,73,14M 13S
73,75,13M 53S
76,75,13M 33S
78,75,13M 1S
78,78,12M 41S
78,80,12M 15S
80,80,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,82,11M 41S
80,84,11M 6S
81,84,10M 46S
82,84,10M 46S
84,84,10M 3S
84,87,9M 40S
86,87,9M 26S
88,87,8M 59S
88,89,8M 36S
89,89,7M 58S
90,89,7M 58S
90,91,7M 44S
90,92,6M 25S
90,93,6M 25S
92,93,4M 54S
92,94,4M 35S
92,95,4M 35S
95,95,4M 6S
97,95,3M 11S
100,95,2M 30S
103,95,1M 53S
105,95,1M 17S
105,98,1M 9S
105,101,38S
105,102,38S
105,105,13S
107,105,0S
End of 4th quarter,NA,0S
