San Antonio,Dallas,time_rem
18-15,19-16,48M 0S
0,0,47M 47S
0,2,47M 21S
2,2,46M 57S
2,5,46M 43S
5,5,46M 10S
7,5,45M 44S
7,7,45M 27S
9,7,45M 8S
11,7,44M 10S
11,8,43M 16S
11,9,43M 16S
11,11,42M 7S
11,13,41M 16S
12,13,41M 4S
13,13,41M 4S
13,15,40M 49S
15,15,40M 21S
15,17,40M 14S
15,18,40M 14S
18,18,40M 1S
21,18,39M 32S
21,20,39M 16S
24,20,39M 8S
24,22,38M 54S
26,22,38M 47S
26,25,38M 29S
29,25,37M 25S
29,27,37M 3S
32,27,36M 45S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,29,35M 47S
34,29,35M 3S
34,31,34M 41S
34,33,34M 23S
34,36,33M 47S
34,38,33M 16S
36,38,32M 56S
36,40,32M 30S
37,40,31M 58S
39,40,30M 58S
41,40,29M 55S
41,42,29M 45S
43,42,29M 30S
45,42,29M 12S
48,42,28M 5S
48,43,27M 48S
50,43,27M 31S
50,45,27M 1S
52,45,26M 45S
52,48,26M 29S
55,48,26M 12S
55,49,25M 36S
55,50,25M 36S
57,50,25M 12S
57,52,24M 58S
58,52,24M 37S
59,52,24M 37S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,54,23M 43S
61,54,23M 25S
61,57,23M 11S
61,59,22M 40S
61,61,22M 16S
61,62,22M 16S
61,64,21M 37S
61,65,21M 5S
62,65,20M 49S
63,65,20M 49S
63,68,20M 37S
66,68,20M 21S
68,68,19M 52S
68,70,19M 40S
68,73,19M 10S
68,74,18M 38S
68,75,18M 38S
70,75,18M 13S
73,75,17M 30S
75,75,16M 47S
75,78,16M 32S
75,79,15M 42S
75,80,15M 42S
77,80,15M 29S
77,81,15M 10S
79,81,14M 30S
80,81,14M 30S
80,83,14M 15S
82,83,13M 59S
84,83,13M 47S
84,85,13M 36S
85,85,13M 19S
86,85,13M 19S
86,87,13M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,87,11M 44S
88,89,10M 58S
88,92,9M 46S
91,92,9M 16S
91,95,8M 59S
93,95,8M 23S
94,95,7M 56S
95,95,7M 56S
95,96,7M 9S
95,97,7M 9S
95,99,6M 31S
95,102,5M 28S
96,102,4M 33S
97,102,4M 33S
97,104,2M 52S
97,105,2M 52S
97,107,2M 17S
98,107,2M 2S
99,107,2M 2S
99,110,1M 42S
99,112,1M 0S
102,112,52S
104,112,35S
104,115,22S
Jump ball: J. Richardson vs. T. Jones (D. Finney,Smith gains possession),13S
End of 4th quarter,NA,0S
