Chicago,Washington,time_rem
1-3,0-4,48M 0S
0,0,47M 49S
3,0,47M 16S
3,3,46M 51S
5,3,46M 38S
5,5,46M 25S
5,7,45M 40S
6,7,45M 20S
7,7,45M 20S
7,9,43M 57S
9,9,43M 45S
9,12,43M 10S
12,12,42M 46S
13,12,41M 30S
15,12,40M 57S
15,14,40M 18S
17,14,40M 4S
18,14,39M 36S
18,16,39M 17S
18,18,38M 43S
21,18,38M 30S
21,20,38M 15S
24,20,38M 0S
27,20,37M 42S
27,23,37M 32S
27,24,37M 32S
29,24,37M 19S
30,24,36M 36S
31,24,36M 36S
31,26,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,28,35M 50S
33,28,35M 31S
33,30,35M 14S
33,32,34M 51S
33,34,34M 25S
35,34,34M 4S
35,35,33M 53S
35,36,33M 53S
35,37,33M 53S
37,37,31M 9S
38,37,30M 15S
39,37,30M 15S
39,40,29M 37S
42,40,29M 28S
43,40,28M 55S
44,40,28M 55S
44,42,28M 34S
44,44,28M 16S
45,44,28M 1S
46,44,28M 1S
49,44,26M 2S
52,44,25M 32S
52,45,24M 30S
52,46,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,48,23M 46S
52,50,23M 21S
55,50,22M 32S
57,50,21M 49S
57,52,21M 35S
59,52,21M 23S
59,54,20M 59S
61,54,20M 15S
63,54,19M 47S
63,57,19M 40S
65,57,19M 28S
65,58,19M 21S
65,59,19M 21S
68,59,18M 31S
68,61,17M 49S
70,61,17M 9S
70,62,16M 58S
70,63,16M 58S
72,63,16M 5S
73,63,16M 5S
75,63,15M 46S
75,65,15M 37S
76,65,15M 25S
77,65,15M 25S
77,67,15M 12S
78,67,14M 30S
79,67,14M 30S
80,67,14M 13S
80,68,14M 5S
80,69,14M 5S
80,71,13M 19S
83,71,13M 0S
83,73,12M 41S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,73,10M 45S
88,73,10M 11S
89,73,9M 54S
90,73,9M 54S
92,73,9M 37S
92,76,9M 27S
92,79,8M 56S
95,79,8M 38S
95,81,7M 40S
97,81,7M 10S
97,82,6M 49S
97,83,6M 49S
99,83,6M 31S
99,84,6M 24S
99,85,6M 24S
102,85,6M 5S
102,86,5M 48S
102,87,5M 48S
102,88,5M 48S
105,88,5M 33S
105,90,5M 21S
107,90,5M 6S
107,93,4M 49S
107,94,4M 4S
107,95,4M 4S
107,96,3M 38S
107,97,3M 38S
109,97,2M 57S
109,100,2M 8S
111,100,1M 45S
111,102,1M 6S
112,102,39S
113,102,39S
113,104,30S
114,104,25S
115,104,25S
115,107,19S
End of 4th quarter,NA,0S
